position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Chelsea,38,30,3,5,85,33,93,61.796887,-23.203113000000002,58.607912999999996,28.618919399999996,-4.381080600000004,27.096581399999998,31.5113316,11.768276327802845,11.874985897007223,435,150,75.737,-17.263000000000005
2,Tottenham,38,26,8,4,86,26,86,70.065979,-15.934021000000001,63.21544900000001,33.7819329,7.781932900000001,32.259602900000004,30.9558461,7.804758281218535,12.262617801087472,300,182,75.37169999999999,-10.62830000000001
3,Manchester City,38,23,9,6,80,39,78,79.851438,-0.1485619999999983,73.00099800000001,29.607516,-9.392484,25.657368,47.34363,6.768413985743822,15.409429868572872,441,131,85.41309999999999,7.413099999999986
4,Liverpool,38,22,10,6,78,42,76,66.63255800000002,-11.367441999999983,60.54320899999999,37.6523285,-4.347671499999997,33.8464865,26.6967225,7.601823852170674,16.302048314044153,446,134,69.8308,-6.169200000000004
5,Arsenal,38,23,6,9,77,44,75,63.58125699999999,-13.418743000000013,59.01423599999999,47.071276999999995,3.071276999999995,39.459584099999994,19.5546519,8.525239872267852,14.459881826754545,478,199,62.1195,-12.880499999999998
6,Manchester United,38,18,15,5,54,29,69,57.571358999999994,3.571358999999994,54.526678,31.623915,2.623915,27.818071799999995,26.708606199999995,9.507941717022774,13.370097789516432,334,177,70.89420000000001,1.894200000000012
7,Everton,38,17,10,11,62,44,61,49.632454100000004,-12.367545899999996,46.587777100000004,45.78298399999999,1.782983999999992,41.977173,4.6106041,10.698700145521501,10.983423180489387,197,261,55.777100000000004,-5.222899999999996
8,Bournemouth,38,12,10,16,55,67,46,50.01613400000001,-4.983865999999992,42.404434800000004,62.992386999999994,-4.007613000000006,59.186531999999985,-16.782097200000003,11.254612553362756,9.899497946879212,244,321,43.174200000000006,-2.825799999999994
9,Southampton,38,12,10,16,41,48,46,49.9841215,8.9841215,45.4171075,43.08468100000001,-4.91531899999999,36.234156000000006,9.182951499999994,9.175662701274959,13.687547977510581,249,256,55.685100000000006,9.685100000000006
10,West Ham,38,12,9,17,47,64,45,48.245556000000015,1.2455560000000148,44.986651000000016,59.67157099999998,-4.328429000000021,53.58221899999998,-8.595568,11.68473426866296,10.386478946133531,166,297,46.0425,1.0424999999999969
11,West Bromwich Albion,38,12,9,17,43,51,45,38.213618000000004,-4.786381999999996,37.452448000000004,47.90015100000001,-3.099848999999992,45.616635,-8.164186999999998,15.879628540187445,7.496460216332622,133,275,45.5854,0.5853999999999999
12,Stoke,38,11,11,16,41,56,44,47.87402199999998,6.874021999999982,43.30700399999999,48.66872600000001,-7.331273999999993,47.14638600000001,-3.839382000000002,13.070667025102479,8.701834707990859,217,253,52.2932,8.293199999999999
13,Leicester,38,12,8,18,48,63,44,44.34083300000001,-3.6591669999999894,39.656960000000005,51.304373000000005,-11.695626999999995,48.259735,-8.602774999999998,12.374472273759075,8.763966050369527,196,279,48.11949999999999,4.119499999999988
14,Crystal Palace,38,12,5,21,50,63,41,45.40267000000001,-4.597329999999992,40.074497,50.031654,-12.968345999999997,48.509315,-8.434818,9.697307678169034,8.006623519259065,204,297,48.4526,7.452599999999997
15,Swansea,38,12,5,21,45,70,41,39.49954290000001,-5.500457099999991,37.21603390000001,65.129661,-4.870339000000001,58.923443000000006,-21.707409100000007,13.40370431253531,11.5116687638355,161,308,36.49079999999999,-4.509200000000007
16,Watford,38,11,7,20,40,68,40,36.25455790000001,-3.745442099999991,33.9710549,52.61801400000001,-15.38198599999999,49.573337,-15.602282099999996,10.864119327607108,9.455931084551523,171,240,40.62490000000001,0.6249000000000109
17,Burnley,38,11,7,20,39,55,40,35.591733999999995,-3.4082660000000047,31.024714000000003,55.268616999999985,0.2686169999999848,51.248535999999994,-20.223822000000002,12.894137089854281,10.13592588789958,174,290,38.35810000000001,-1.6418999999999926
18,Hull,38,9,7,22,37,80,34,33.839492,-3.160508,31.555987000000002,71.77442400000001,-8.22557599999999,61.87924200000001,-30.323255,15.813960681977466,10.911178505009676,160,326,30.7344,-3.265599999999999
19,Middlesbrough,38,5,13,20,27,53,28,30.930126300000005,3.930126300000005,29.4077853,55.301359899999994,2.3013598999999942,51.4955189,-22.087733600000004,11.045008255649467,10.884778386388087,144,320,37.25339999999999,9.253399999999992
20,Sunderland,38,6,6,26,29,69,24,34.22368,5.223680000000002,30.417833100000006,65.66352800000001,-3.3364719999999863,62.61884800000001,-32.2010149,13.279815413641384,8.608607633899872,180,334,32.2426,8.242600000000003
