GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2014-08-17 13:30:00,w,h,1.33192,2,1.55248,1,1.1776999999999997,3,1.33192,1.55248,"{'att': 238, 'def': 21}","{'att': 401, 'def': 36}",11.333333333333334,11.13888888888889,6,9,-0.2205600000000001
2,2014-08-25 20:00:00,l,a,0.901889,1,1.31375,3,0.9614,0,0.901889,1.31375,"{'att': 328, 'def': 18}","{'att': 289, 'def': 17}",18.22222222222222,17.0,7,11,-0.4118609999999999
3,2014-08-31 13:30:00,w,a,2.74317,3,0.48592,0,2.7561,3,1.982,0.48592,"{'att': 303, 'def': 25}","{'att': 198, 'def': 28}",12.12,7.071428571428571,4,6,1.49608
4,2014-09-13 17:30:00,l,h,0.728097,0,0.701676,1,1.2967,0,0.728097,0.701676,"{'att': 91, 'def': 14}","{'att': 486, 'def': 9}",6.5,54.0,5,1,0.026421000000000028
5,2014-09-20 17:30:00,l,a,0.37835,1,1.26032,3,0.5005999999999999,0,0.37835,1.26032,"{'att': 122, 'def': 17}","{'att': 313, 'def': 24}",7.176470588235294,13.041666666666666,4,5,-0.8819700000000001
6,2014-09-27 12:45:00,d,h,1.5286,1,0.475885,1,2.2529,1,1.5286,0.475885,"{'att': 300, 'def': 25}","{'att': 217, 'def': 20}",12.0,10.85,8,3,1.052715
7,2014-10-04 15:00:00,w,h,1.56163,2,1.4384,1,1.4005999999999998,3,1.56163,0.677228,"{'att': 201, 'def': 25}","{'att': 257, 'def': 32}",8.04,8.03125,10,5,0.884402
8,2014-10-19 13:30:00,w,a,1.51813,3,2.60852,2,0.6537,3,1.51813,2.60852,"{'att': 126, 'def': 20}","{'att': 258, 'def': 34}",6.3,7.588235294117647,8,8,-1.09039
9,2014-10-25 15:00:00,d,h,0.678924,0,0.222999,0,1.7727,1,0.678924,0.222999,"{'att': 150, 'def': 24}","{'att': 335, 'def': 32}",6.25,10.46875,11,2,0.45592499999999997
10,2014-11-01 12:45:00,l,a,0.258953,0,1.56863,1,0.3271,0,0.258953,1.56863,"{'att': 150, 'def': 16}","{'att': 385, 'def': 28}",9.375,13.75,6,5,-1.309677
11,2014-11-08 12:45:00,l,h,0.531905,1,1.97201,2,0.3255,0,0.531905,1.97201,"{'att': 191, 'def': 20}","{'att': 334, 'def': 28}",9.55,11.928571428571429,7,12,-1.440105
12,2014-11-23 13:30:00,l,a,0.952958,1,1.47309,3,0.9235,0,0.952958,1.47309,"{'att': 123, 'def': 19}","{'att': 347, 'def': 27}",6.473684210526316,12.851851851851851,9,7,-0.520132
