GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2014-08-16 12:45:00,l,h,1.16635,1,0.278076,2,2.2359,0,1.16635,0.278076,"{'att': 253, 'def': 25}","{'att': 341, 'def': 19}",10.12,17.94736842105263,8,2,0.888274
2,2014-08-24 16:00:00,d,a,0.941557,1,0.666489,1,1.674,1,0.941557,0.666489,"{'att': 297, 'def': 27}","{'att': 267, 'def': 21}",11.0,12.714285714285714,2,4,0.275068
3,2014-08-30 12:45:00,d,a,0.467281,0,0.513746,0,1.2096,1,0.467281,0.513746,"{'att': 150, 'def': 21}","{'att': 305, 'def': 27}",7.142857142857143,11.296296296296296,11,2,-0.046465000000000034
4,2014-09-14 16:00:00,w,h,2.20911,4,0.563524,0,2.5363,3,2.20911,0.563524,"{'att': 228, 'def': 26}","{'att': 546, 'def': 12}",8.76923076923077,45.5,9,4,1.6455859999999998
5,2014-09-21 13:30:00,l,a,1.71191,3,2.5422,5,0.8067,0,1.71191,1.01986,"{'att': 174, 'def': 26}","{'att': 285, 'def': 23}",6.6923076923076925,12.391304347826088,7,6,0.69205
6,2014-09-27 15:00:00,w,h,0.520246,2,1.27452,1,0.6964999999999999,3,0.520246,1.27452,"{'att': 189, 'def': 13}","{'att': 315, 'def': 21}",14.538461538461538,15.0,5,10,-0.7542740000000001
7,2014-10-05 12:00:00,w,h,1.6239,2,2.13558,1,0.9917,3,1.6239,1.37441,"{'att': 268, 'def': 36}","{'att': 269, 'def': 20}",7.444444444444445,13.45,4,7,0.24949
8,2014-10-20 20:00:00,d,a,0.934042,2,0.61662,2,1.572,1,0.934042,0.61662,"{'att': 214, 'def': 27}","{'att': 286, 'def': 16}",7.925925925925926,17.875,8,3,0.3174220000000001
9,2014-10-26 16:00:00,d,h,1.84074,1,0.989916,1,2.0214,1,1.84074,0.989916,"{'att': 245, 'def': 18}","{'att': 254, 'def': 18}",13.61111111111111,14.11111111111111,7,8,0.850824
10,2014-11-02 13:30:00,l,a,0.727924,0,2.56723,1,0.3017,0,0.727924,2.56723,"{'att': 253, 'def': 19}","{'att': 258, 'def': 35}",13.31578947368421,7.371428571428571,5,14,-1.8393059999999999
