GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2014-08-16 15:00:00,l,h,1.90067,0,1.11757,1,2.0149,0,1.12689,1.11757,"{'att': 218, 'def': 17}","{'att': 216, 'def': 21}",12.823529411764707,10.285714285714286,1,5,0.009319999999999995
2,2014-08-24 13:30:00,l,a,1.07617,0,2.38894,4,0.5381,0,1.07617,2.38894,"{'att': 456, 'def': 28}","{'att': 224, 'def': 29}",16.285714285714285,7.724137931034483,2,8,-1.3127699999999998
3,2014-08-30 15:00:00,w,h,1.27277,1,0.964343,0,1.5890999999999997,3,1.27277,0.964343,"{'att': 322, 'def': 26}","{'att': 166, 'def': 21}",12.384615384615385,7.904761904761905,7,7,0.308427
4,2014-09-14 16:00:00,l,a,0.563524,0,2.20911,4,0.3136,0,0.563524,2.20911,"{'att': 546, 'def': 12}","{'att': 228, 'def': 26}",45.5,8.76923076923077,4,9,-1.6455859999999998
5,2014-09-20 12:45:00,d,h,1.05642,2,1.45847,2,0.9737,1,1.05642,1.45847,"{'att': 238, 'def': 24}","{'att': 235, 'def': 24}",9.916666666666666,9.791666666666666,3,6,-0.40205
6,2014-09-27 15:00:00,l,a,0.456323,1,2.34463,2,0.2299,0,0.456323,2.34463,"{'att': 262, 'def': 18}","{'att': 210, 'def': 22}",14.555555555555555,9.545454545454545,3,8,-1.888307
7,2014-10-05 16:15:00,l,a,0.697342,0,1.64038,2,0.5123,0,0.697342,1.64038,"{'att': 234, 'def': 24}","{'att': 273, 'def': 22}",9.75,12.409090909090908,0,5,-0.9430379999999999
8,2014-10-19 13:30:00,l,h,2.60852,2,1.51813,3,2.1516,0,2.60852,1.51813,"{'att': 258, 'def': 34}","{'att': 126, 'def': 20}",7.588235294117647,6.3,8,8,1.09039
9,2014-10-27 20:00:00,w,h,0.81667,2,1.18709,0,0.9961,3,0.81667,1.18709,"{'att': 340, 'def': 25}","{'att': 123, 'def': 22}",13.6,5.590909090909091,3,6,-0.37041999999999997
10,2014-11-01 15:00:00,l,a,0.510067,1,2.23703,2,0.24209999999999998,0,0.510067,1.47586,"{'att': 300, 'def': 23}","{'att': 176, 'def': 32}",13.043478260869565,5.5,3,12,-0.9657929999999999
11,2014-11-08 17:30:00,d,h,1.86489,2,1.70189,2,1.5175999999999998,1,1.86489,1.70189,"{'att': 271, 'def': 28}","{'att': 175, 'def': 21}",9.678571428571429,8.333333333333334,4,15,0.16300000000000003
12,2014-11-22 15:00:00,l,a,0.402285,0,1.47871,1,0.47050000000000003,0,0.402285,1.47871,"{'att': 184, 'def': 26}","{'att': 149, 'def': 34}",7.076923076923077,4.382352941176471,5,9,-1.076425
13,2014-11-29 15:00:00,w,h,2.98194,3,2.10013,2,1.9742000000000002,3,2.98194,2.10013,"{'att': 105, 'def': 13}","{'att': 175, 'def': 29}",8.076923076923077,6.0344827586206895,7,8,0.8818099999999998
14,2014-12-02 19:45:00,l,a,0.789519,0,1.54207,2,0.7788,0,0.789519,1.54207,"{'att': 335, 'def': 28}","{'att': 186, 'def': 24}",11.964285714285714,7.75,4,6,-0.7525510000000001
15,2014-12-06 15:00:00,w,h,1.63744,2,1.2646,0,1.654,3,1.63744,1.2646,"{'att': 157, 'def': 14}","{'att': 161, 'def': 25}",11.214285714285714,6.44,11,12,0.37284000000000006
16,2014-12-15 20:00:00,l,a,0.972265,1,0.747708,3,1.5516999999999999,0,0.972265,0.747708,"{'att': 286, 'def': 28}","{'att': 232, 'def': 29}",10.214285714285714,8.0,4,5,0.224557
17,2014-12-20 15:00:00,w,h,2.92864,3,1.30117,2,2.5012,3,2.16747,1.30117,"{'att': 184, 'def': 22}","{'att': 157, 'def': 17}",8.363636363636363,9.235294117647058,4,12,0.8662999999999998
18,2014-12-26 17:30:00,l,a,1.21752,1,2.13888,2,0.6531,0,0.456385,1.37771,"{'att': 304, 'def': 35}","{'att': 221, 'def': 18}",8.685714285714285,12.277777777777779,7,11,-0.921325
19,2014-12-28 15:00:00,d,h,0.405679,0,0.328577,0,1.3231,1,0.405679,0.328577,"{'att': 112, 'def': 24}","{'att': 177, 'def': 22}",4.666666666666667,8.045454545454545,4,5,0.077102
20,2015-01-01 15:00:00,d,h,3.16214,1,1.69725,1,2.3068999999999997,1,3.16214,1.69725,"{'att': 293, 'def': 37}","{'att': 155, 'def': 15}",7.918918918918919,10.333333333333334,9,6,1.46489
21,2015-01-10 15:00:00,l,a,1.69555,1,2.19126,2,1.0748,0,0.93438,2.19126,"{'att': 138, 'def': 12}","{'att': 170, 'def': 27}",11.5,6.296296296296297,7,8,-1.2568800000000002
22,2015-01-17 15:00:00,l,h,0.929623,0,1.55645,2,0.8639,0,0.929623,1.55645,"{'att': 262, 'def': 25}","{'att': 172, 'def': 30}",10.48,5.733333333333333,6,8,-0.6268269999999999
23,2015-01-31 15:00:00,l,a,1.11577,1,0.782569,3,1.6808999999999998,0,1.11577,0.782569,"{'att': 192, 'def': 17}","{'att': 180, 'def': 24}",11.294117647058824,7.5,4,5,0.33320099999999997
24,2015-02-07 15:00:00,l,h,1.03037,0,0.963892,1,1.3948999999999998,0,1.03037,0.963892,"{'att': 212, 'def': 22}","{'att': 174, 'def': 27}",9.636363636363637,6.444444444444445,5,10,0.06647800000000004
25,2015-02-10 19:45:00,w,a,1.26883,2,1.80831,0,0.9351,3,1.26883,1.80831,"{'att': 252, 'def': 30}","{'att': 218, 'def': 27}",8.4,8.074074074074074,4,4,-0.5394800000000002
26,2015-02-21 15:00:00,l,a,0.190631,1,1.09259,2,0.4784,0,0.190631,1.09259,"{'att': 212, 'def': 22}","{'att': 167, 'def': 26}",9.636363636363637,6.423076923076923,0,6,-0.901959
27,2015-03-04 19:45:00,l,h,0.318849,1,2.1651,2,0.1923,0,0.318849,2.1651,"{'att': 255, 'def': 36}","{'att': 177, 'def': 20}",7.083333333333333,8.85,2,15,-1.8462509999999999
28,2015-03-07 15:00:00,l,h,1.49775,1,2.62405,2,0.6722,0,1.49775,2.62405,"{'att': 193, 'def': 25}","{'att': 100, 'def': 28}",7.72,3.5714285714285716,8,4,-1.1263
29,2015-03-14 12:45:00,l,a,0.266048,1,2.20095,3,0.1302,0,0.266048,2.20095,"{'att': 110, 'def': 23}","{'att': 191, 'def': 21}",4.782608695652174,9.095238095238095,2,5,-1.9349020000000001
30,2015-03-22 16:00:00,l,h,1.39318,1,0.839996,2,1.8243,0,1.39318,0.839996,"{'att': 156, 'def': 31}","{'att': 151, 'def': 27}",5.032258064516129,5.592592592592593,18,9,0.5531840000000001
31,2015-04-04 15:00:00,w,a,1.20939,4,2.13361,1,0.7600999999999999,3,1.20939,2.13361,"{'att': 222, 'def': 21}","{'att': 182, 'def': 16}",10.571428571428571,11.375,5,9,-0.92422
32,2015-04-07 19:45:00,d,a,1.43061,3,1.86698,3,1.0679,1,1.43061,1.86698,"{'att': 195, 'def': 22}","{'att': 117, 'def': 18}",8.863636363636363,6.5,3,5,-0.43637000000000015
33,2015-04-12 13:30:00,l,h,0.780982,0,0.920984,1,1.1843,0,0.780982,0.920984,"{'att': 212, 'def': 30}","{'att': 116, 'def': 17}",7.066666666666666,6.823529411764706,2,8,-0.14000200000000007
34,2015-04-25 15:00:00,d,h,2.28143,0,0.824309,0,2.4533,1,1.52026,0.824309,"{'att': 98, 'def': 20}","{'att': 105, 'def': 22}",4.9,4.7727272727272725,15,4,0.695951
