GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2015-08-10 23:00:00,w,a,1.9242,3,0.435238,0,2.4759,3,1.9242,0.435238,"{'att': 186, 'def': 23}","{'att': 396, 'def': 17}",8.08695652173913,23.294117647058822,8,4,1.488962
2,2015-08-16 19:00:00,w,h,2.18579,3,0.482423,0,2.5817,3,2.18579,0.482423,"{'att': 189, 'def': 33}","{'att': 192, 'def': 29}",5.7272727272727275,6.620689655172414,15,6,1.7033669999999999
3,2015-08-23 19:00:00,w,a,1.57983,2,0.579338,0,2.2001,3,1.57983,0.579338,"{'att': 234, 'def': 25}","{'att': 231, 'def': 12}",9.36,19.25,9,3,1.000492
4,2015-08-29 18:00:00,w,h,1.52895,2,0.363603,0,2.3479,3,1.52895,0.363603,"{'att': 284, 'def': 28}","{'att': 368, 'def': 18}",10.142857142857142,20.444444444444443,9,1,1.1653470000000001
5,2015-09-12 18:00:00,w,a,3.08883,1,0.743193,0,2.8169000000000004,3,3.08883,0.743193,"{'att': 206, 'def': 24}","{'att': 207, 'def': 24}",8.583333333333334,8.625,8,2,2.345637
6,2015-09-19 20:30:00,l,h,2.98465,1,0.995273,2,2.6401000000000003,0,2.98465,0.995273,"{'att': 143, 'def': 39}","{'att': 309, 'def': 13}",3.6666666666666665,23.76923076923077,15,3,1.9893769999999997
7,2015-09-26 15:45:00,l,a,1.57842,1,2.30799,4,0.8832,0,1.57842,2.30799,"{'att': 218, 'def': 20}","{'att': 201, 'def': 38}",10.9,5.2894736842105265,17,3,-0.7295700000000003
8,2015-10-03 18:00:00,w,h,3.3346,6,0.980279,1,2.7124,3,3.3346,0.980279,"{'att': 181, 'def': 33}","{'att': 248, 'def': 11}",5.484848484848484,22.545454545454547,14,3,2.354321
9,2015-10-17 18:00:00,w,h,4.71274,5,0.173025,1,2.9958,3,4.71274,0.173025,"{'att': 272, 'def': 19}","{'att': 311, 'def': 21}",14.31578947368421,14.80952380952381,12,4,4.539715
10,2015-10-25 18:05:00,d,a,0.310718,0,0.391754,0,1.115,1,0.310718,0.391754,"{'att': 325, 'def': 30}","{'att': 203, 'def': 29}",10.833333333333334,7.0,6,5,-0.081036
11,2015-10-31 19:00:00,w,h,2.83557,2,1.17497,1,2.5945,3,1.31323,1.17497,"{'att': 150, 'def': 15}","{'att': 364, 'def': 13}",10.0,28.0,12,5,0.13825999999999983
12,2015-11-08 17:30:00,d,a,1.53281,0,0.182741,0,2.5875000000000004,1,1.53281,0.182741,"{'att': 185, 'def': 27}","{'att': 330, 'def': 10}",6.851851851851852,33.0,12,1,1.350069
13,2015-11-21 21:30:00,l,h,1.08612,1,2.61697,4,0.4397,0,1.08612,2.61697,"{'att': 190, 'def': 20}","{'att': 251, 'def': 29}",9.5,8.655172413793103,9,8,-1.5308499999999998
14,2015-11-28 19:00:00,w,h,2.12331,3,1.24478,1,2.0708,3,2.12331,1.24478,"{'att': 269, 'def': 36}","{'att': 179, 'def': 18}",7.472222222222222,9.944444444444445,6,4,0.87853
15,2015-12-05 16:45:00,l,a,0.483752,0,2.01436,2,0.2908,0,0.483752,2.01436,"{'att': 222, 'def': 48}","{'att': 208, 'def': 39}",4.625,5.333333333333333,6,5,-1.530608
16,2015-12-12 19:00:00,w,h,1.34338,2,0.962789,1,1.6751,3,1.34338,0.962789,"{'att': 346, 'def': 29}","{'att': 303, 'def': 19}",11.931034482758621,15.947368421052632,2,5,0.380591
17,2015-12-22 00:00:00,l,a,0.769378,1,1.50109,2,0.7383,0,0.769378,1.50109,"{'att': 197, 'def': 34}","{'att': 367, 'def': 17}",5.794117647058823,21.58823529411765,10,5,-0.731712
18,2015-12-26 19:00:00,w,h,3.51848,4,1.08103,1,2.77,3,2.75731,1.08103,"{'att': 173, 'def': 29}","{'att': 345, 'def': 20}",5.9655172413793105,17.25,10,2,1.67628
19,2015-12-29 23:45:00,d,a,1.66777,0,0.810377,0,2.0499,1,1.66777,0.810377,"{'att': 130, 'def': 28}","{'att': 230, 'def': 20}",4.642857142857143,11.5,13,4,0.857393
20,2016-01-02 21:30:00,w,a,0.692054,2,0.985368,1,1.0510000000000002,3,0.692054,0.985368,"{'att': 189, 'def': 24}","{'att': 198, 'def': 29}",7.875,6.827586206896552,9,5,-0.2933140000000001
21,2016-01-13 23:45:00,d,h,1.44957,0,0.369548,0,2.2523,1,1.44957,0.369548,"{'att': 296, 'def': 21}","{'att': 212, 'def': 9}",14.095238095238095,23.555555555555557,17,7,1.080022
22,2016-01-16 19:00:00,w,h,1.74025,4,0.613339,0,2.3095,3,1.74025,0.613339,"{'att': 223, 'def': 39}","{'att': 255, 'def': 30}",5.717948717948718,8.5,10,3,1.1269110000000002
23,2016-01-23 21:30:00,d,a,1.73182,2,1.01267,2,1.9595,1,0.970646,1.01267,"{'att': 214, 'def': 27}","{'att': 234, 'def': 25}",7.925925925925926,9.36,9,6,-0.04202399999999995
24,2016-02-02 23:45:00,w,a,0.638461,1,0.888437,0,1.099,3,0.638461,0.888437,"{'att': 175, 'def': 29}","{'att': 216, 'def': 34}",6.0344827586206895,6.352941176470588,5,6,-0.2499760000000001
25,2016-02-06 16:45:00,l,h,1.70719,1,2.50168,3,0.8711,0,1.70719,2.50168,"{'att': 111, 'def': 25}","{'att': 230, 'def': 19}",4.44,12.105263157894736,15,6,-0.7944899999999999
26,2016-02-14 20:15:00,l,h,1.97876,1,1.23517,2,1.9330999999999998,0,1.97876,0.474034,"{'att': 326, 'def': 28}","{'att': 222, 'def': 30}",11.642857142857142,7.4,11,2,1.504726
27,2016-03-03 00:00:00,l,a,0.180318,0,1.16781,3,0.40299999999999997,0,0.180318,1.16781,"{'att': 215, 'def': 28}","{'att': 233, 'def': 40}",7.678571428571429,5.825,3,5,-0.987492
28,2016-03-05 19:00:00,w,h,2.83271,4,0.121136,0,2.916,3,2.07154,0.121136,"{'att': 183, 'def': 34}","{'att': 423, 'def': 11}",5.382352941176471,38.45454545454545,25,2,1.9504040000000002
29,2016-03-12 16:45:00,d,a,0.557373,0,0.139743,0,1.7062,1,0.557373,0.139743,"{'att': 143, 'def': 23}","{'att': 258, 'def': 25}",6.217391304347826,10.32,10,1,0.41763
30,2016-03-20 20:00:00,l,h,1.86249,0,0.900312,1,2.0638,0,1.86249,0.900312,"{'att': 199, 'def': 23}","{'att': 212, 'def': 30}",8.652173913043478,7.066666666666666,10,3,0.962178
31,2016-04-02 18:00:00,w,a,0.868303,4,1.3239,0,0.9424,3,0.868303,1.3239,"{'att': 298, 'def': 26}","{'att': 277, 'def': 26}",11.461538461538462,10.653846153846153,10,4,-0.45559700000000003
32,2016-04-09 20:30:00,w,h,2.07325,2,1.09413,1,2.1913,3,1.31208,1.09413,"{'att': 158, 'def': 16}","{'att': 245, 'def': 24}",9.875,10.208333333333334,5,4,0.21794999999999987
33,2016-04-16 20:30:00,w,a,2.62768,3,0.487715,0,2.7687,3,1.86651,0.487715,"{'att': 297, 'def': 22}","{'att': 297, 'def': 33}",13.5,9.0,9,5,1.3787949999999998
34,2016-04-19 22:45:00,d,a,0.522043,1,0.455246,1,1.3175000000000001,1,0.522043,0.455246,"{'att': 198, 'def': 25}","{'att': 238, 'def': 26}",7.92,9.153846153846153,5,1,0.06679700000000005
35,2016-04-23 15:45:00,w,h,2.22482,4,1.09174,0,2.2431,3,1.46365,1.09174,"{'att': 277, 'def': 31}","{'att': 298, 'def': 19}",8.935483870967742,15.68421052631579,10,4,0.37190999999999996
36,2016-05-01 19:30:00,l,a,1.12719,2,2.84362,4,0.27780000000000005,0,1.12719,2.84362,"{'att': 184, 'def': 34}","{'att': 335, 'def': 33}",5.411764705882353,10.151515151515152,1,10,-1.7164300000000001
37,2016-05-08 19:00:00,d,h,0.75375,2,1.08084,2,1.0034,1,0.75375,1.08084,"{'att': 183, 'def': 37}","{'att': 224, 'def': 26}",4.945945945945946,8.615384615384615,8,1,-0.32709
38,2016-05-15 18:00:00,d,a,2.04003,1,0.115604,1,2.8417,1,2.04003,0.115604,"{'att': 296, 'def': 31}","{'att': 241, 'def': 18}",9.548387096774194,13.38888888888889,14,1,1.9244259999999997
