GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2015-08-09 16:30:00,d,h,1.54613,2,1.2529,2,1.6322999999999999,1,1.54613,1.2529,"{'att': 229, 'def': 18}","{'att': 266, 'def': 38}",12.722222222222221,7.0,3,5,0.2932300000000001
2,2015-08-15 18:00:00,l,a,0.113109,0,1.97424,2,0.0961,0,0.113109,1.97424,"{'att': 412, 'def': 12}","{'att': 212, 'def': 34}",34.333333333333336,6.235294117647059,0,4,-1.861131
3,2015-08-22 15:45:00,d,a,0.4384,0,1.2491,0,0.6493,1,0.4384,1.2491,"{'att': 295, 'def': 16}","{'att': 146, 'def': 31}",18.4375,4.709677419354839,1,12,-0.8107000000000001
4,2015-08-29 15:45:00,l,h,0.0319694,0,2.33948,1,0.06920000000000001,0,0.0319694,2.33948,"{'att': 371, 'def': 17}","{'att': 155, 'def': 28}",21.823529411764707,5.535714285714286,0,15,-2.3075106
5,2015-09-14 23:00:00,l,a,0.716599,0,1.71282,2,0.5675,0,0.716599,1.71282,"{'att': 148, 'def': 18}","{'att': 293, 'def': 25}",8.222222222222221,11.72,4,4,-0.996221
6,2015-09-19 18:00:00,l,h,1.15114,1,1.33961,2,1.1796000000000002,0,1.15114,1.33961,"{'att': 170, 'def': 18}","{'att': 281, 'def': 37}",9.444444444444445,7.594594594594595,7,10,-0.18846999999999992
7,2015-09-26 20:30:00,d,h,0.702109,2,1.30593,2,0.8487,1,0.702109,1.30593,"{'att': 267, 'def': 24}","{'att': 126, 'def': 30}",11.125,4.2,2,8,-0.603821
8,2015-10-03 18:00:00,l,a,0.980279,1,3.3346,6,0.20079999999999998,0,0.980279,3.3346,"{'att': 248, 'def': 11}","{'att': 181, 'def': 33}",22.545454545454547,5.484848484848484,3,14,-2.354321
9,2015-10-18 19:00:00,w,h,2.24896,6,1.34395,2,2.0258000000000003,3,2.24896,1.34395,"{'att': 238, 'def': 19}","{'att': 192, 'def': 26}",12.526315789473685,7.384615384615385,8,4,0.9050099999999999
10,2015-10-25 16:00:00,l,a,1.41744,0,2.37969,3,0.6166,0,1.41744,1.61852,"{'att': 143, 'def': 16}","{'att': 247, 'def': 20}",8.9375,12.35,7,5,-0.20107999999999993
