GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2015-08-08 18:00:00,l,h,1.13076,1,2.10975,3,0.6542,0,1.13076,2.10975,"{'att': 109, 'def': 19}","{'att': 255, 'def': 24}",5.7368421052631575,10.625,5,10,-0.97899
2,2015-08-15 18:00:00,w,a,1.71686,3,0.329128,1,2.4779999999999998,3,1.71686,0.329128,"{'att': 224, 'def': 21}","{'att': 224, 'def': 22}",10.666666666666666,10.181818181818182,6,2,1.3877320000000002
3,2015-08-22 18:00:00,d,h,3.14888,1,0.698228,1,2.7779,1,3.14888,0.698228,"{'att': 289, 'def': 30}","{'att': 153, 'def': 14}",9.633333333333333,10.928571428571429,4,2,2.4506520000000003
4,2015-08-30 16:30:00,l,a,0.639434,0,2.85501,3,0.10590000000000001,0,0.639434,2.85501,"{'att': 307, 'def': 12}","{'att': 186, 'def': 18}",25.583333333333332,10.333333333333334,2,2,-2.215576
5,2015-09-12 18:00:00,w,h,1.33151,3,0.389495,1,2.225,3,1.33151,0.389495,"{'att': 259, 'def': 26}","{'att': 221, 'def': 19}",9.961538461538462,11.631578947368421,7,3,0.942015
6,2015-09-20 19:00:00,d,a,0.556271,1,1.90447,1,0.4423,1,0.556271,1.90447,"{'att': 319, 'def': 21}","{'att': 195, 'def': 22}",15.19047619047619,8.863636363636363,3,12,-1.3481990000000001
7,2015-09-26 18:00:00,d,a,1.38603,2,2.60407,2,0.6213,1,1.38603,2.60407,"{'att': 175, 'def': 26}","{'att': 270, 'def': 30}",6.730769230769231,9.0,3,9,-1.21804
8,2015-10-03 18:00:00,l,h,1.18074,1,3.00282,2,0.3338,0,1.18074,2.24168,"{'att': 104, 'def': 9}","{'att': 235, 'def': 23}",11.555555555555555,10.217391304347826,5,5,-1.0609400000000002
9,2015-10-18 19:00:00,l,a,1.34395,2,2.24896,6,0.7544,0,1.34395,2.24896,"{'att': 192, 'def': 26}","{'att': 238, 'def': 19}",7.384615384615385,12.526315789473685,4,8,-0.9050099999999999
10,2015-10-24 18:00:00,l,h,1.03228,0,1.45436,1,0.9568000000000001,0,1.03228,1.45436,"{'att': 137, 'def': 18}","{'att': 231, 'def': 17}",7.611111111111111,13.588235294117647,6,3,-0.42208
11,2015-10-31 19:00:00,l,a,1.17497,1,2.83557,2,0.2629,0,1.17497,1.31323,"{'att': 364, 'def': 13}","{'att': 150, 'def': 15}",28.0,10.0,5,12,-0.13825999999999983
12,2015-11-07 19:00:00,w,h,1.19517,1,0.402284,0,2.128,3,1.19517,0.402284,"{'att': 438, 'def': 19}","{'att': 175, 'def': 16}",23.05263157894737,10.9375,4,5,0.7928860000000001
13,2015-11-21 19:00:00,l,a,0.202798,0,2.16487,1,0.16720000000000002,0,0.202798,2.16487,"{'att': 258, 'def': 18}","{'att': 150, 'def': 22}",14.333333333333334,6.818181818181818,2,15,-1.962072
14,2015-11-29 20:15:00,d,h,1.01025,1,1.65699,1,0.8193,1,1.01025,1.65699,"{'att': 315, 'def': 14}","{'att': 172, 'def': 19}",22.5,9.052631578947368,4,8,-0.6467399999999999
15,2015-12-05 19:00:00,l,a,0.310524,0,2.07199,2,0.179,0,0.310524,1.31082,"{'att': 169, 'def': 13}","{'att': 169, 'def': 16}",13.0,10.5625,3,10,-1.000296
16,2015-12-12 16:45:00,d,h,1.49283,1,2.43558,1,0.7242999999999999,1,1.49283,2.43558,"{'att': 349, 'def': 19}","{'att': 191, 'def': 10}",18.36842105263158,19.1,4,9,-0.9427499999999998
17,2015-12-19 19:00:00,w,a,0.556897,2,1.01394,1,0.9163,3,0.556897,1.01394,"{'att': 285, 'def': 14}","{'att': 140, 'def': 23}",20.357142857142858,6.086956521739131,1,7,-0.4570430000000001
18,2015-12-26 19:00:00,l,a,0.452019,0,2.40666,3,0.1905,0,0.452019,1.64549,"{'att': 315, 'def': 30}","{'att': 186, 'def': 21}",10.5,8.857142857142858,4,13,-1.193471
19,2015-12-28 19:00:00,w,h,1.10319,2,0.235874,0,2.2081999999999997,3,1.10319,0.235874,"{'att': 217, 'def': 24}","{'att': 170, 'def': 30}",9.041666666666666,5.666666666666667,3,0,0.8673159999999999
20,2016-01-02 19:00:00,w,h,1.50509,1,0.932294,0,1.8645,3,1.50509,0.932294,"{'att': 244, 'def': 11}","{'att': 160, 'def': 18}",22.181818181818183,8.88888888888889,4,10,0.5727960000000001
21,2016-01-13 23:45:00,l,a,0.193728,1,1.24456,3,0.3951,0,0.193728,1.24456,"{'att': 417, 'def': 13}","{'att': 170, 'def': 33}",32.07692307692308,5.151515151515151,4,8,-1.0508320000000002
22,2016-01-16 19:00:00,l,a,0.595472,0,2.53086,3,0.2047,0,0.595472,1.76969,"{'att': 180, 'def': 22}","{'att': 208, 'def': 22}",8.181818181818182,9.454545454545455,1,3,-1.174218
23,2016-01-23 16:45:00,l,h,1.03432,4,1.44943,5,0.9914999999999999,0,0.273154,1.44943,"{'att': 229, 'def': 28}","{'att': 179, 'def': 23}",8.178571428571429,7.782608695652174,8,8,-1.176276
24,2016-02-02 23:45:00,l,h,0.929319,0,2.75469,3,0.2678,0,0.929319,1.99352,"{'att': 244, 'def': 22}","{'att': 175, 'def': 15}",11.090909090909092,11.666666666666666,6,4,-1.064201
25,2016-02-06 19:00:00,l,a,1.1413,0,0.918291,2,1.5459,0,1.1413,0.918291,"{'att': 175, 'def': 28}","{'att': 195, 'def': 22}",6.25,8.863636363636363,5,1,0.223009
26,2016-02-13 19:00:00,d,h,1.03362,2,0.741428,2,1.6205,1,1.03362,0.741428,"{'att': 197, 'def': 29}","{'att': 147, 'def': 20}",6.793103448275862,7.35,5,5,0.292192
27,2016-02-27 19:00:00,l,a,0.814784,0,1.7645,1,0.5485,0,0.814784,1.7645,"{'att': 213, 'def': 20}","{'att': 130, 'def': 17}",10.65,7.647058823529412,2,5,-0.949716
28,2016-03-01 23:45:00,l,h,1.24159,1,0.980988,2,1.5956000000000001,0,1.24159,0.980988,"{'att': 269, 'def': 28}","{'att': 216, 'def': 17}",9.607142857142858,12.705882352941176,10,15,0.260602
29,2016-03-05 19:00:00,l,a,0.580126,0,0.545937,1,1.3222,0,0.580126,0.545937,"{'att': 204, 'def': 21}","{'att': 142, 'def': 32}",9.714285714285714,4.4375,8,6,0.034189000000000025
30,2016-03-12 16:45:00,d,h,0.139743,0,0.557373,0,0.7567,1,0.139743,0.557373,"{'att': 258, 'def': 25}","{'att': 143, 'def': 23}",10.32,6.217391304347826,1,10,-0.41763
31,2016-03-19 19:00:00,w,a,0.799255,1,0.332789,0,1.8283999999999998,3,0.799255,0.332789,"{'att': 136, 'def': 19}","{'att': 131, 'def': 23}",7.157894736842105,5.695652173913044,5,2,0.46646600000000005
32,2016-04-02 18:00:00,w,h,1.65216,3,1.46835,2,1.5125,3,1.65216,0.707185,"{'att': 265, 'def': 15}","{'att': 149, 'def': 15}",17.666666666666668,9.933333333333334,8,4,0.9449750000000001
33,2016-04-09 18:00:00,l,a,0.675663,0,1.45029,1,0.6932,0,0.675663,1.45029,"{'att': 134, 'def': 18}","{'att': 110, 'def': 24}",7.444444444444445,4.583333333333333,6,1,-0.7746270000000001
34,2016-04-16 15:45:00,l,h,1.09006,0,1.99748,3,0.6672,0,1.09006,1.23631,"{'att': 90, 'def': 13}","{'att': 196, 'def': 15}",6.923076923076923,13.066666666666666,6,6,-0.14625
35,2016-04-30 20:30:00,l,a,0.578781,0,0.781508,1,1.1164999999999998,0,0.578781,0.781508,"{'att': 320, 'def': 15}","{'att': 121, 'def': 16}",21.333333333333332,7.5625,3,11,-0.202727
36,2016-05-07 15:45:00,l,h,1.36825,0,1.48344,1,1.2744,0,1.36825,1.48344,"{'att': 244, 'def': 20}","{'att': 97, 'def': 23}",12.2,4.217391304347826,3,12,-0.11519000000000013
37,2016-05-11 22:45:00,w,h,2.41871,4,1.7686,2,1.8539999999999999,3,2.41871,1.7686,"{'att': 181, 'def': 23}","{'att': 235, 'def': 32}",7.869565217391305,7.34375,12,7,0.65011
38,2016-05-15 18:00:00,l,a,0.43016,0,2.40775,3,0.1732,0,0.43016,1.64658,"{'att': 191, 'def': 21}","{'att': 196, 'def': 29}",9.095238095238095,6.758620689655173,10,14,-1.2164199999999998
