GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2015-08-08 18:00:00,l,a,1.45946,2,2.56803,4,0.662,0,1.45946,1.80686,"{'att': 172, 'def': 18}","{'att': 272, 'def': 25}",9.555555555555555,10.88,6,5,-0.34739999999999993
2,2015-08-15 18:00:00,l,h,0.329128,1,1.71686,3,0.3375,0,0.329128,1.71686,"{'att': 224, 'def': 22}","{'att': 224, 'def': 21}",10.181818181818182,10.666666666666666,2,6,-1.3877320000000002
3,2015-08-22 18:00:00,d,h,0.569426,1,1.56064,1,0.6088,1,0.569426,1.56064,"{'att': 293, 'def': 29}","{'att': 163, 'def': 19}",10.10344827586207,8.578947368421053,2,4,-0.991214
4,2015-08-29 18:00:00,d,a,0.368848,2,2.27406,2,0.1749,1,0.368848,1.51289,"{'att': 294, 'def': 40}","{'att': 190, 'def': 22}",7.35,8.636363636363637,3,12,-1.144042
5,2015-09-13 16:30:00,l,h,1.0407,0,1.45615,1,1.0179,0,1.0407,1.45615,"{'att': 217, 'def': 18}","{'att': 150, 'def': 29}",12.055555555555555,5.172413793103448,4,12,-0.4154500000000001
6,2015-09-19 18:00:00,l,a,0.854867,0,0.644335,2,1.5617,0,0.854867,0.644335,"{'att': 241, 'def': 26}","{'att': 230, 'def': 27}",9.26923076923077,8.518518518518519,2,7,0.21053200000000005
7,2015-09-26 18:00:00,l,a,0.832139,0,2.8971,3,0.1436,0,0.832139,2.8971,"{'att': 352, 'def': 16}","{'att': 180, 'def': 28}",22.0,6.428571428571429,1,6,-2.0649610000000003
8,2015-10-03 18:00:00,d,h,1.08401,2,1.93656,2,0.7297,1,1.08401,1.93656,"{'att': 247, 'def': 19}","{'att': 197, 'def': 21}",13.0,9.380952380952381,3,7,-0.8525500000000001
9,2015-10-17 18:00:00,l,a,0.658473,0,2.07781,1,0.2791,0,0.658473,2.07781,"{'att': 211, 'def': 23}","{'att': 179, 'def': 19}",9.173913043478262,9.421052631578947,5,2,-1.419337
10,2015-10-25 16:00:00,w,h,2.37969,3,1.41744,0,2.1763,3,1.61852,1.41744,"{'att': 247, 'def': 20}","{'att': 143, 'def': 16}",12.35,8.9375,5,7,0.20107999999999993
11,2015-11-01 17:30:00,l,a,1.21834,2,2.34852,6,0.6232,0,1.21834,2.34852,"{'att': 345, 'def': 23}","{'att': 169, 'def': 11}",15.0,15.363636363636363,8,11,-1.1301800000000002
12,2015-11-07 19:00:00,l,h,0.299104,0,1.79578,1,0.25129999999999997,0,0.299104,1.03461,"{'att': 274, 'def': 14}","{'att': 139, 'def': 19}",19.571428571428573,7.315789473684211,3,6,-0.735506
13,2015-11-24 00:00:00,w,a,1.30739,1,0.696183,0,1.9251999999999998,3,1.30739,0.696183,"{'att': 249, 'def': 9}","{'att': 98, 'def': 32}",27.666666666666668,3.0625,8,4,0.6112070000000001
14,2015-11-28 19:00:00,w,h,0.863466,2,0.79464,0,1.3138,3,0.863466,0.79464,"{'att': 255, 'def': 26}","{'att': 234, 'def': 15}",9.807692307692308,15.6,6,4,0.06882599999999994
15,2015-12-05 19:00:00,l,a,1.5228,1,2.29559,3,0.8341,0,1.5228,2.29559,"{'att': 377, 'def': 16}","{'att': 133, 'def': 23}",23.5625,5.782608695652174,7,11,-0.7727899999999999
16,2015-12-12 19:00:00,l,h,0.879474,0,2.0562,1,0.5575,0,0.879474,2.0562,"{'att': 217, 'def': 13}","{'att': 211, 'def': 21}",16.692307692307693,10.047619047619047,8,4,-1.176726
17,2015-12-19 19:00:00,l,a,1.23573,1,3.02023,3,0.2968,0,1.23573,2.25906,"{'att': 317, 'def': 29}","{'att': 153, 'def': 26}",10.931034482758621,5.884615384615385,4,23,-1.0233299999999999
18,2015-12-26 19:00:00,l,a,1.08103,1,3.51848,4,0.154,0,1.08103,2.75731,"{'att': 345, 'def': 20}","{'att': 173, 'def': 29}",17.25,5.9655172413793105,2,10,-1.67628
19,2015-12-30 23:45:00,l,h,0.481551,0,1.80743,1,0.4011,0,0.481551,1.80743,"{'att': 210, 'def': 19}","{'att': 145, 'def': 19}",11.052631578947368,7.631578947368421,5,11,-1.325879
20,2016-01-02 19:00:00,w,h,0.761225,3,0.27956,1,1.7599,3,0.761225,0.27956,"{'att': 257, 'def': 23}","{'att': 212, 'def': 22}",11.173913043478262,9.636363636363637,6,1,0.48166500000000007
21,2016-01-13 23:45:00,w,a,2.49057,4,1.06526,2,2.5357000000000003,3,2.49057,0.304096,"{'att': 264, 'def': 23}","{'att': 228, 'def': 13}",11.478260869565217,17.53846153846154,8,7,2.186474
22,2016-01-16 16:45:00,l,a,0.617306,1,2.02579,4,0.3755,0,0.617306,1.26463,"{'att': 294, 'def': 19}","{'att': 156, 'def': 18}",15.473684210526315,8.666666666666666,3,10,-0.6473239999999999
