GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-15 23:00:00,w,h,1.4603,2,0.445604,1,2.2936,3,0.699127,0.445604,"{'att': 213, 'def': 34}","{'att': 333, 'def': 28}",6.264705882352941,11.892857142857142,7,3,0.25352300000000005
2,2016-08-20 18:00:00,w,a,1.75595,2,0.804549,1,2.1832,3,1.75595,0.804549,"{'att': 201, 'def': 24}","{'att': 296, 'def': 30}",8.375,9.866666666666667,9,1,0.9514009999999999
3,2016-08-27 18:00:00,w,h,2.65838,3,0.18449,0,2.8418,3,2.65838,0.18449,"{'att': 233, 'def': 14}","{'att': 343, 'def': 24}",16.642857142857142,14.291666666666666,23,1,2.4738900000000004
4,2016-09-11 19:00:00,d,a,2.19035,2,1.2304,2,2.0143,1,2.19035,0.469231,"{'att': 234, 'def': 17}","{'att': 287, 'def': 28}",13.764705882352942,10.25,14,3,1.721119
5,2016-09-16 23:00:00,l,h,1.16415,1,1.41642,2,1.1212,0,1.16415,1.41642,"{'att': 250, 'def': 17}","{'att': 323, 'def': 32}",14.705882352941176,10.09375,11,4,-0.25227
6,2016-09-24 20:30:00,l,a,0.613553,0,1.66224,3,0.5593,0,0.613553,1.66224,"{'att': 236, 'def': 20}","{'att': 274, 'def': 24}",11.8,11.416666666666666,4,15,-1.048687
7,2016-10-01 18:00:00,w,a,1.99155,2,0.27266,0,2.6359000000000004,3,1.99155,0.27266,"{'att': 233, 'def': 21}","{'att': 281, 'def': 19}",11.095238095238095,14.789473684210526,11,2,1.71889
8,2016-10-15 15:30:00,w,h,3.11573,3,0.182549,0,2.9316999999999998,3,3.11573,0.182549,"{'att': 258, 'def': 23}","{'att': 320, 'def': 25}",11.217391304347826,12.8,12,3,2.9331810000000003
9,2016-10-23 19:00:00,w,h,2.25192,4,0.742805,0,2.4444000000000004,3,2.25192,0.742805,"{'att': 227, 'def': 25}","{'att': 233, 'def': 36}",9.08,6.472222222222222,4,9,1.509115
10,2016-10-30 20:00:00,w,a,1.14759,2,0.422364,0,1.9948000000000001,3,1.14759,0.422364,"{'att': 237, 'def': 19}","{'att': 208, 'def': 29}",12.473684210526315,7.172413793103448,8,5,0.7252260000000001
11,2016-11-05 21:30:00,w,h,1.94078,5,0.0131321,0,2.8023,3,1.94078,0.0131321,"{'att': 274, 'def': 21}","{'att': 374, 'def': 28}",13.047619047619047,13.357142857142858,12,1,1.9276479
12,2016-11-20 20:00:00,w,a,1.68738,1,0.55976,0,2.2786,3,1.68738,0.55976,"{'att': 299, 'def': 29}","{'att': 298, 'def': 24}",10.310344827586206,12.416666666666666,20,2,1.12762
13,2016-11-26 21:30:00,w,h,1.24948,2,0.422568,1,2.1180000000000003,3,1.24948,0.422568,"{'att': 238, 'def': 26}","{'att': 207, 'def': 33}",9.153846153846153,6.2727272727272725,7,3,0.8269119999999999
14,2016-12-03 16:30:00,w,a,1.2848,3,2.24061,1,0.685,3,1.2848,2.24061,"{'att': 283, 'def': 21}","{'att': 194, 'def': 34}",13.476190476190476,5.705882352941177,8,9,-0.9558100000000003
15,2016-12-11 16:00:00,w,h,0.551109,1,0.212574,0,1.6332999999999998,3,0.551109,0.212574,"{'att': 123, 'def': 21}","{'att': 278, 'def': 26}",5.857142857142857,10.692307692307692,4,0,0.3385349999999999
16,2016-12-14 23:45:00,w,a,1.22459,1,0.473979,0,1.9969999999999999,3,1.22459,0.473979,"{'att': 148, 'def': 17}","{'att': 301, 'def': 18}",8.705882352941176,16.72222222222222,4,5,0.7506110000000001
17,2016-12-17 16:30:00,w,a,0.81444,1,0.356331,0,1.7385,3,0.81444,0.356331,"{'att': 263, 'def': 21}","{'att': 192, 'def': 21}",12.523809523809524,9.142857142857142,13,5,0.45810900000000004
18,2016-12-26 19:00:00,w,h,1.71303,3,0.650942,0,2.2879000000000005,3,0.95186,0.650942,"{'att': 361, 'def': 27}","{'att': 220, 'def': 23}",13.37037037037037,9.565217391304348,9,5,0.300918
