GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 15:30:00,w,h,0.740018,2,2.45631,1,0.2861,3,0.740018,1.69514,"{'att': 268, 'def': 15}","{'att': 282, 'def': 25}",17.866666666666667,11.28,0,5,-0.9551220000000001
2,2016-08-20 18:00:00,w,a,2.18655,2,1.14134,0,2.1868000000000003,3,2.18655,1.14134,"{'att': 303, 'def': 12}","{'att': 307, 'def': 30}",25.25,10.233333333333333,5,11,1.04521
3,2016-08-27 20:30:00,l,h,0.268815,0,2.47208,1,0.09670000000000001,0,0.268815,2.47208,"{'att': 249, 'def': 13}","{'att': 237, 'def': 20}",19.153846153846153,11.85,2,15,-2.203265
4,2016-09-10 18:00:00,d,a,0.907116,1,0.453149,1,1.7822999999999998,1,0.907116,0.453149,"{'att': 230, 'def': 18}","{'att': 404, 'def': 29}",12.777777777777779,13.931034482758621,2,7,0.453967
5,2016-09-17 18:00:00,l,h,0.969693,1,3.63453,4,0.1075,0,0.208524,2.87336,"{'att': 371, 'def': 10}","{'att': 357, 'def': 33}",37.1,10.818181818181818,5,14,-2.6648359999999998
6,2016-09-24 18:00:00,l,a,0.157549,1,4.64913,5,0.004,0,0.157549,3.1268,"{'att': 318, 'def': 12}","{'att': 175, 'def': 30}",26.5,5.833333333333333,2,21,-2.969251
7,2016-10-01 18:00:00,l,h,0.27266,0,1.99155,2,0.22660000000000002,0,0.27266,1.99155,"{'att': 281, 'def': 19}","{'att': 233, 'def': 21}",14.789473684210526,11.095238095238095,2,11,-1.71889
8,2016-10-15 18:00:00,l,a,0.388589,1,2.92532,6,0.1018,0,0.388589,2.16415,"{'att': 283, 'def': 17}","{'att': 269, 'def': 36}",16.647058823529413,7.472222222222222,1,11,-1.7755609999999997
9,2016-10-22 18:00:00,l,h,0.701606,0,1.04273,2,1.0467,0,0.701606,1.04273,"{'att': 264, 'def': 29}","{'att': 257, 'def': 22}",9.10344827586207,11.681818181818182,7,6,-0.341124
10,2016-10-29 18:00:00,l,a,0.251367,0,1.14991,1,0.5195000000000001,0,0.251367,1.14991,"{'att': 232, 'def': 12}","{'att': 182, 'def': 22}",19.333333333333332,8.272727272727273,6,5,-0.898543
11,2016-11-06 18:15:00,w,h,0.561215,2,2.03046,1,0.3578,3,0.561215,1.26929,"{'att': 335, 'def': 11}","{'att': 176, 'def': 26}",30.454545454545453,6.769230769230769,3,13,-0.708075
12,2016-11-19 19:00:00,l,a,1.25065,0,0.951511,3,1.6113,0,1.25065,0.951511,"{'att': 224, 'def': 21}","{'att': 288, 'def': 18}",10.666666666666666,16.0,9,8,0.29913900000000004
13,2016-11-26 19:00:00,d,h,0.424457,1,1.40213,1,0.5464,1,0.424457,1.40213,"{'att': 203, 'def': 20}","{'att': 284, 'def': 15}",10.15,18.933333333333334,2,3,-0.9776730000000001
14,2016-12-06 00:00:00,l,a,0.221339,0,1.94961,1,0.2004,0,0.221339,1.94961,"{'att': 341, 'def': 12}","{'att': 248, 'def': 22}",28.416666666666668,11.272727272727273,3,6,-1.7282710000000001
15,2016-12-10 19:00:00,d,h,2.16649,3,1.50059,3,1.8750000000000002,1,1.40532,0.739423,"{'att': 175, 'def': 25}","{'att': 209, 'def': 12}",7.0,17.416666666666668,7,4,0.6658969999999999
16,2016-12-15 00:00:00,l,a,0.570636,0,2.83077,3,0.11809999999999998,0,0.570636,2.83077,"{'att': 413, 'def': 27}","{'att': 184, 'def': 11}",15.296296296296296,16.727272727272727,3,9,-2.260134
17,2016-12-17 19:00:00,l,a,1.13479,0,1.92151,1,0.7638,0,1.13479,1.16034,"{'att': 227, 'def': 14}","{'att': 152, 'def': 19}",16.214285714285715,8.0,9,2,-0.02554999999999996
18,2016-12-26 21:15:00,l,h,0.350069,0,2.22237,3,0.1577,0,0.350069,1.4612,"{'att': 388, 'def': 24}","{'att': 150, 'def': 13}",16.166666666666668,11.538461538461538,0,9,-1.111131
19,2016-12-31 00:00:00,d,h,0.852585,2,1.27757,2,1.0067,1,0.852585,1.27757,"{'att': 276, 'def': 23}","{'att': 214, 'def': 28}",12.0,7.642857142857143,4,9,-0.42498500000000006
20,2017-01-02 19:00:00,l,a,0.992341,1,0.883566,3,1.4347999999999999,0,0.992341,0.883566,"{'att': 189, 'def': 16}","{'att': 291, 'def': 15}",11.8125,19.4,2,1,0.10877500000000007
21,2017-01-14 19:00:00,w,h,1.18904,3,1.43455,1,1.1092,3,1.18904,0.673383,"{'att': 311, 'def': 24}","{'att': 187, 'def': 15}",12.958333333333334,12.466666666666667,2,4,0.5156570000000001
22,2017-01-22 19:30:00,l,a,0.314532,0,1.47165,2,0.3689,0,0.314532,1.47165,"{'att': 269, 'def': 28}","{'att': 320, 'def': 21}",9.607142857142858,15.238095238095237,6,9,-1.1571179999999999
23,2017-02-01 23:00:00,d,a,0.395896,0,1.48151,0,0.47130000000000005,1,0.395896,1.48151,"{'att': 333, 'def': 17}","{'att': 177, 'def': 31}",19.58823529411765,5.709677419354839,4,13,-1.085614
24,2017-02-04 15:00:00,w,h,1.88587,2,1.12538,0,2.0223,3,1.88587,1.12538,"{'att': 300, 'def': 9}","{'att': 106, 'def': 22}",33.333333333333336,4.818181818181818,3,16,0.7604899999999999
25,2017-02-11 12:30:00,l,a,0.466403,0,3.1235,2,0.0541,0,0.466403,2.36233,"{'att': 249, 'def': 22}","{'att': 247, 'def': 23}",11.318181818181818,10.73913043478261,4,17,-1.895927
26,2017-02-25 15:00:00,d,h,1.59037,1,0.473058,1,2.3578,1,0.829204,0.473058,"{'att': 101, 'def': 7}","{'att': 245, 'def': 16}",14.428571428571429,15.3125,5,4,0.3561460000000001
27,2017-03-04 15:00:00,l,a,1.1216,1,1.81255,3,0.8452999999999999,0,1.1216,1.81255,"{'att': 153, 'def': 22}","{'att': 239, 'def': 29}",6.954545454545454,8.241379310344827,3,11,-0.6909500000000002
28,2017-03-11 15:00:00,w,h,1.98818,2,1.44148,1,1.8066,3,1.98818,1.44148,"{'att': 201, 'def': 19}","{'att': 211, 'def': 16}",10.578947368421053,13.1875,7,3,0.5467
29,2017-03-18 15:00:00,l,a,0.528692,0,2.63141,4,0.19169999999999998,0,0.528692,2.63141,"{'att': 246, 'def': 20}","{'att': 240, 'def': 24}",12.3,10.0,3,10,-2.102718
30,2017-04-01 15:00:00,w,h,0.778704,2,1.24571,1,0.9539,3,0.778704,1.24571,"{'att': 254, 'def': 23}","{'att': 188, 'def': 23}",11.043478260869565,8.173913043478262,2,3,-0.46700600000000014
31,2017-04-05 19:45:00,w,h,2.23261,4,1.30673,2,2.0194,3,2.23261,1.30673,"{'att': 251, 'def': 23}","{'att': 212, 'def': 26}",10.91304347826087,8.153846153846153,8,4,0.9258800000000003
32,2017-04-08 15:00:00,l,a,0.358364,1,2.33731,3,0.1714,0,0.358364,2.33731,"{'att': 413, 'def': 19}","{'att': 183, 'def': 24}",21.736842105263158,7.625,6,11,-1.978946
33,2017-04-15 15:00:00,l,a,1.17696,1,2.01829,3,0.7436,0,1.17696,2.01829,"{'att': 164, 'def': 20}","{'att': 232, 'def': 26}",8.2,8.923076923076923,5,9,-0.8413299999999999
34,2017-04-22 15:00:00,w,h,1.42309,2,1.15869,0,1.5979,3,1.42309,1.15869,"{'att': 387, 'def': 14}","{'att': 149, 'def': 27}",27.642857142857142,5.518518518518518,0,4,0.26439999999999997
35,2017-04-29 15:00:00,d,a,0.472435,0,1.24844,0,0.5485,1,0.472435,0.487272,"{'att': 254, 'def': 28}","{'att': 172, 'def': 28}",9.071428571428571,6.142857142857143,11,6,-0.014836999999999989
36,2017-05-06 15:00:00,l,h,1.21734,0,1.95502,2,0.8206,0,1.21734,1.95502,"{'att': 127, 'def': 19}","{'att': 245, 'def': 13}",6.684210526315789,18.846153846153847,7,7,-0.7376799999999999
37,2017-05-14 12:00:00,l,a,0.518148,0,2.73274,4,0.14500000000000002,0,0.518148,1.97158,"{'att': 71, 'def': 17}","{'att': 241, 'def': 24}",4.176470588235294,10.041666666666666,7,6,-1.453432
38,2017-05-21 15:00:00,l,h,0.812723,1,3.89027,7,0.0769,0,0.812723,3.89027,"{'att': 315, 'def': 23}","{'att': 205, 'def': 22}",13.695652173913043,9.318181818181818,3,19,-3.077547
