GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 15:30:00,l,a,2.45631,1,0.740018,2,2.5892,0,1.69514,0.740018,"{'att': 282, 'def': 25}","{'att': 268, 'def': 15}",11.28,17.866666666666667,5,0,0.9551220000000001
2,2016-08-20 20:30:00,d,h,0.553693,0,0.521509,0,1.3239999999999998,1,0.553693,0.521509,"{'att': 268, 'def': 36}","{'att': 153, 'def': 23}",7.444444444444445,6.6521739130434785,8,12,0.03218399999999999
3,2016-08-27 18:00:00,w,h,2.47977,2,0.32818,1,2.8104,3,1.60174,0.32818,"{'att': 205, 'def': 35}","{'att': 204, 'def': 18}",5.857142857142857,11.333333333333334,3,4,1.2735599999999998
4,2016-09-10 20:30:00,l,a,1.22508,1,2.76916,4,0.46730000000000005,0,1.22508,2.76916,"{'att': 325, 'def': 22}","{'att': 153, 'def': 10}",14.772727272727273,15.3,3,14,-1.54408
5,2016-09-17 18:00:00,w,h,1.98503,3,0.464523,0,2.5679,3,1.98503,0.464523,"{'att': 185, 'def': 19}","{'att': 255, 'def': 17}",9.736842105263158,15.0,6,1,1.520507
6,2016-09-24 15:30:00,l,a,0.286966,1,2.45604,4,0.0932,0,0.286966,2.45604,"{'att': 428, 'def': 22}","{'att': 153, 'def': 22}",19.454545454545453,6.954545454545454,11,11,-2.1690739999999997
7,2016-10-02 17:15:00,d,h,0.446309,0,0.920963,0,0.8516999999999999,1,0.446309,0.920963,"{'att': 388, 'def': 20}","{'att': 230, 'def': 21}",19.4,10.952380952380953,4,8,-0.47465399999999996
8,2016-10-15 15:30:00,l,a,0.182549,0,3.11573,3,0.039099999999999996,0,0.182549,3.11573,"{'att': 320, 'def': 25}","{'att': 258, 'def': 23}",12.8,11.217391304347826,3,12,-2.9331810000000003
9,2016-10-22 18:00:00,w,h,1.7041,3,1.656,1,1.4057000000000002,3,1.7041,1.656,"{'att': 277, 'def': 32}","{'att': 166, 'def': 23}",8.65625,7.217391304347826,10,8,0.04810000000000003
10,2016-10-29 18:00:00,d,a,0.740987,1,1.69833,1,0.5628,1,0.740987,0.937162,"{'att': 267, 'def': 33}","{'att': 111, 'def': 15}",8.090909090909092,7.4,6,9,-0.1961750000000001
11,2016-11-06 20:30:00,l,h,0.629678,1,0.78196,2,1.1768,0,0.629678,0.78196,"{'att': 166, 'def': 19}","{'att': 266, 'def': 27}",8.736842105263158,9.851851851851851,5,1,-0.15228200000000003
12,2016-11-19 19:00:00,l,a,1.19686,1,0.7197,2,1.8374000000000001,0,0.435691,0.7197,"{'att': 143, 'def': 28}","{'att': 191, 'def': 21}",5.107142857142857,9.095238095238095,6,5,-0.284009
