GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 18:00:00,d,h,1.80523,1,0.485626,1,2.5279,1,1.80523,0.485626,"{'att': 234, 'def': 32}","{'att': 199, 'def': 22}",7.3125,9.045454545454545,4,4,1.319604
2,2016-08-21 16:30:00,w,a,0.854908,2,1.4645,1,0.8507,3,0.854908,1.4645,"{'att': 188, 'def': 32}","{'att': 289, 'def': 29}",5.875,9.96551724137931,6,12,-0.6095919999999999
3,2016-08-28 16:30:00,d,a,0.396816,0,0.696845,0,0.964,1,0.396816,0.696845,"{'att': 175, 'def': 26}","{'att': 322, 'def': 18}",6.730769230769231,17.88888888888889,4,5,-0.30002900000000005
4,2016-09-10 18:00:00,l,h,0.611959,1,1.12437,2,0.8426,0,0.611959,1.12437,"{'att': 214, 'def': 23}","{'att': 320, 'def': 19}",9.304347826086957,16.842105263157894,2,4,-0.5124110000000001
5,2016-09-17 20:30:00,l,a,0.178081,1,1.17467,3,0.37889999999999996,0,0.178081,1.17467,"{'att': 341, 'def': 36}","{'att': 315, 'def': 13}",9.472222222222221,24.23076923076923,1,8,-0.9965890000000002
6,2016-09-24 18:00:00,l,h,0.361508,1,1.4158,2,0.4938,0,0.361508,1.4158,"{'att': 276, 'def': 40}","{'att': 230, 'def': 23}",6.9,10.0,0,12,-1.054292
7,2016-10-01 18:00:00,d,a,0.852603,1,0.883385,1,1.3076,1,0.852603,0.883385,"{'att': 179, 'def': 24}","{'att': 300, 'def': 26}",7.458333333333333,11.538461538461538,2,3,-0.030781999999999976
8,2016-10-16 16:30:00,l,h,0.528576,0,0.0893749,1,1.7502,0,0.528576,0.0893749,"{'att': 153, 'def': 28}","{'att': 286, 'def': 19}",5.464285714285714,15.052631578947368,3,2,0.43920110000000007
9,2016-10-22 18:00:00,d,a,1.55581,0,0.711811,0,2.1083,1,1.55581,0.711811,"{'att': 287, 'def': 14}","{'att': 87, 'def': 19}",20.5,4.578947368421052,0,13,0.8439989999999999
10,2016-10-29 18:00:00,w,h,1.44317,2,1.54599,0,1.2891000000000001,3,1.44317,1.54599,"{'att': 235, 'def': 24}","{'att': 208, 'def': 21}",9.791666666666666,9.904761904761905,6,14,-0.10281999999999991
11,2016-11-05 19:00:00,d,a,0.208762,1,2.49606,1,0.1086,1,0.208762,2.49606,"{'att': 245, 'def': 21}","{'att': 132, 'def': 25}",11.666666666666666,5.28,1,15,-2.287298
