GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 18:00:00,d,h,0.937328,1,0.180046,1,2.0192,1,0.937328,0.180046,"{'att': 158, 'def': 24}","{'att': 344, 'def': 23}",6.583333333333333,14.956521739130435,6,4,0.757282
2,2016-08-19 23:00:00,l,a,0.613233,0,1.36553,2,0.6519,0,0.613233,0.604363,"{'att': 213, 'def': 31}","{'att': 258, 'def': 15}",6.870967741935484,17.2,8,9,0.008870000000000045
3,2016-08-27 18:00:00,d,h,0.613743,1,1.39142,1,0.6205,1,0.613743,0.630251,"{'att': 111, 'def': 19}","{'att': 258, 'def': 17}",5.842105263157895,15.176470588235293,4,7,-0.016507999999999967
4,2016-09-10 18:00:00,l,a,1.17522,1,1.89219,2,0.8200000000000001,0,1.17522,1.13102,"{'att': 297, 'def': 24}","{'att': 248, 'def': 23}",12.375,10.782608695652174,1,13,0.04420000000000002
5,2016-09-18 17:15:00,w,h,2.15218,1,0.490661,0,2.5410000000000004,3,2.15218,0.490661,"{'att': 213, 'def': 25}","{'att': 237, 'def': 14}",8.52,16.928571428571427,7,4,1.661519
6,2016-09-25 19:00:00,w,a,2.97877,3,0.693818,0,2.7415000000000003,3,2.97877,0.693818,"{'att': 203, 'def': 22}","{'att': 272, 'def': 23}",9.227272727272727,11.826086956521738,12,4,2.2849519999999997
7,2016-10-02 17:15:00,d,a,0.920963,0,0.446309,0,1.7853,1,0.920963,0.446309,"{'att': 230, 'def': 21}","{'att': 388, 'def': 20}",10.952380952380953,19.4,8,4,0.47465399999999996
8,2016-10-16 19:00:00,w,h,4.21181,3,1.03126,1,2.89,3,3.45064,0.270091,"{'att': 163, 'def': 9}","{'att': 281, 'def': 17}",18.11111111111111,16.529411764705884,9,4,3.180549
9,2016-10-23 16:30:00,d,a,0.563752,1,1.15321,1,0.8156000000000001,1,0.563752,1.15321,"{'att': 297, 'def': 27}","{'att': 145, 'def': 23}",11.0,6.304347826086956,4,11,-0.589458
10,2016-10-30 20:00:00,l,h,0.422364,0,1.14759,2,0.6889000000000001,0,0.422364,1.14759,"{'att': 208, 'def': 29}","{'att': 237, 'def': 19}",7.172413793103448,12.473684210526315,5,8,-0.7252260000000001
11,2016-11-06 18:15:00,l,a,2.03046,1,0.561215,2,2.4746,0,1.26929,0.561215,"{'att': 176, 'def': 26}","{'att': 335, 'def': 11}",6.769230769230769,30.454545454545453,13,3,0.708075
12,2016-11-19 19:00:00,d,h,0.0942055,0,1.68802,0,0.1921,1,0.0942055,1.68802,"{'att': 325, 'def': 17}","{'att': 182, 'def': 41}",19.11764705882353,4.439024390243903,0,11,-1.5938145000000001
13,2016-11-27 20:30:00,w,h,2.80562,1,0.615174,0,2.7423,3,2.80562,0.615174,"{'att': 180, 'def': 28}","{'att': 223, 'def': 26}",6.428571428571429,8.576923076923077,8,8,2.1904459999999997
14,2016-12-03 19:00:00,l,a,0.764357,0,2.20073,3,0.3466,0,0.764357,2.20073,"{'att': 148, 'def': 28}","{'att': 218, 'def': 26}",5.285714285714286,8.384615384615385,9,2,-1.4363730000000001
15,2016-12-11 18:15:00,w,h,1.72919,1,0.493941,0,2.4456999999999995,3,1.72919,0.493941,"{'att': 219, 'def': 24}","{'att': 289, 'def': 29}",9.125,9.96551724137931,6,1,1.235249
16,2016-12-15 00:00:00,d,a,0.723114,0,0.333754,0,1.6892,1,0.723114,0.333754,"{'att': 85, 'def': 27}","{'att': 227, 'def': 4}",3.1481481481481484,56.75,15,1,0.38936000000000004
17,2016-12-18 17:30:00,w,a,1.69451,3,0.492912,1,2.4754,3,1.69451,0.492912,"{'att': 193, 'def': 23}","{'att': 282, 'def': 22}",8.391304347826088,12.818181818181818,10,5,1.201598
18,2016-12-28 23:45:00,l,h,0.403743,1,1.61035,4,0.38130000000000003,0,0.403743,0.849177,"{'att': 321, 'def': 21}","{'att': 162, 'def': 27}",15.285714285714286,6.0,1,7,-0.44543399999999994
19,2016-12-31 19:00:00,l,h,0.371668,1,0.6675,2,0.9661,0,0.371668,0.6675,"{'att': 115, 'def': 30}","{'att': 310, 'def': 33}",3.8333333333333335,9.393939393939394,4,3,-0.295832
20,2017-01-02 15:00:00,l,a,1.01083,0,2.34997,3,0.43970000000000004,0,1.01083,1.5888,"{'att': 205, 'def': 38}","{'att': 198, 'def': 18}",5.394736842105263,11.0,4,11,-0.5779700000000001
21,2017-01-14 19:00:00,l,a,0.962065,0,0.464555,1,1.7849,0,0.962065,0.464555,"{'att': 132, 'def': 21}","{'att': 198, 'def': 22}",6.285714285714286,9.0,4,4,0.49750999999999995
22,2017-01-22 15:00:00,w,h,2.49923,3,0.935866,0,2.47,3,1.73806,0.935866,"{'att': 124, 'def': 22}","{'att': 222, 'def': 19}",5.636363636363637,11.68421052631579,4,3,0.802194
23,2017-01-31 22:45:00,l,a,0.907103,1,0.760046,2,1.49,0,0.907103,0.760046,"{'att': 238, 'def': 26}","{'att': 347, 'def': 22}",9.153846153846153,15.772727272727273,5,2,0.147057
24,2017-02-04 15:00:00,l,h,1.06276,1,0.91785,3,1.3928,0,1.06276,0.91785,"{'att': 213, 'def': 21}","{'att': 274, 'def': 29}",10.142857142857142,9.448275862068966,5,2,0.14490999999999987
25,2017-02-11 15:00:00,w,a,1.72717,4,0.197925,0,2.5643,3,1.72717,0.197925,"{'att': 267, 'def': 32}","{'att': 273, 'def': 21}",8.34375,13.0,9,3,1.5292450000000002
26,2017-03-04 15:00:00,w,a,1.33681,4,1.40104,3,1.3015,3,1.33681,1.40104,"{'att': 110, 'def': 15}","{'att': 233, 'def': 29}",7.333333333333333,8.03448275862069,5,8,-0.06423000000000001
27,2017-03-19 14:15:00,l,a,0.839989,1,1.64328,2,0.6667,0,0.839989,0.882109,"{'att': 210, 'def': 23}","{'att': 246, 'def': 23}",9.130434782608695,10.695652173913043,5,8,-0.042120000000000046
28,2017-04-01 17:30:00,d,h,1.00252,0,2.06307,0,0.604,1,1.00252,1.3019,"{'att': 166, 'def': 16}","{'att': 360, 'def': 23}",10.375,15.652173913043478,7,4,-0.29938
29,2017-04-05 19:45:00,w,h,3.34327,3,1.73055,1,2.3653,3,3.34327,1.73055,"{'att': 90, 'def': 20}","{'att': 174, 'def': 18}",4.5,9.666666666666666,18,7,1.61272
30,2017-04-08 15:00:00,w,a,0.910339,1,2.01721,0,0.5555,3,0.910339,2.01721,"{'att': 147, 'def': 25}","{'att': 315, 'def': 24}",5.88,13.125,10,8,-1.106871
31,2017-04-15 17:30:00,l,h,0.616753,0,2.74188,3,0.191,0,0.616753,2.74188,"{'att': 365, 'def': 23}","{'att': 245, 'def': 19}",15.869565217391305,12.894736842105264,4,8,-2.125127
32,2017-04-25 19:45:00,l,a,1.32952,2,1.4438,4,1.3187,0,1.32952,1.4438,"{'att': 239, 'def': 16}","{'att': 286, 'def': 14}",14.9375,20.428571428571427,6,23,-0.11427999999999994
33,2017-04-29 15:00:00,d,h,1.24844,0,0.472435,0,2.1799,1,0.487272,0.472435,"{'att': 172, 'def': 28}","{'att': 254, 'def': 28}",6.142857142857143,9.071428571428571,6,11,0.014836999999999989
34,2017-05-07 13:30:00,d,a,0.182082,0,1.35967,0,0.2623,1,0.182082,0.598504,"{'att': 283, 'def': 23}","{'att': 163, 'def': 25}",12.304347826086957,6.52,2,12,-0.41642200000000007
35,2017-05-10 19:45:00,l,h,1.25259,0,1.35954,2,1.2566000000000002,0,1.25259,1.35954,"{'att': 229, 'def': 14}","{'att': 234, 'def': 20}",16.357142857142858,11.7,4,15,-0.10694999999999988
36,2017-05-13 15:00:00,w,a,1.52569,2,1.32885,1,1.5171,3,0.764523,1.32885,"{'att': 180, 'def': 22}","{'att': 304, 'def': 21}",8.181818181818182,14.476190476190476,4,8,-0.5643270000000001
37,2017-05-17 19:45:00,d,h,1.66533,0,0.45805,0,2.3925,1,0.904161,0.45805,"{'att': 238, 'def': 18}","{'att': 286, 'def': 17}",13.222222222222221,16.823529411764707,5,3,0.446111
38,2017-05-21 15:00:00,l,h,1.3554,0,0.983464,1,1.6451,0,1.3554,0.983464,"{'att': 147, 'def': 27}","{'att': 281, 'def': 22}",5.444444444444445,12.772727272727273,12,7,0.37193599999999993
