GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 18:00:00,w,a,1.72089,1,1.04903,0,1.9345999999999999,3,1.72089,1.04903,"{'att': 165, 'def': 16}","{'att': 230, 'def': 21}",10.3125,10.952380952380953,2,5,0.6718600000000001
2,2016-08-20 18:00:00,l,h,1.14134,0,2.18655,2,0.6091,0,1.14134,2.18655,"{'att': 307, 'def': 30}","{'att': 303, 'def': 12}",10.233333333333333,25.25,11,5,-1.04521
3,2016-08-27 18:00:00,l,a,0.32818,1,2.47977,2,0.1179,0,0.32818,1.60174,"{'att': 204, 'def': 18}","{'att': 205, 'def': 35}",11.333333333333334,5.857142857142857,4,3,-1.2735599999999998
4,2016-09-11 19:00:00,d,h,1.2304,2,2.19035,2,0.7393000000000001,1,0.469231,2.19035,"{'att': 287, 'def': 28}","{'att': 234, 'def': 17}",10.25,13.764705882352942,3,14,-1.721119
5,2016-09-18 17:15:00,l,a,0.490661,0,2.15218,1,0.3099,0,0.490661,2.15218,"{'att': 237, 'def': 14}","{'att': 213, 'def': 25}",16.928571428571427,8.52,4,7,-1.661519
6,2016-09-24 15:00:00,l,h,1.11096,1,2.57704,3,0.4302,0,1.11096,1.81587,"{'att': 320, 'def': 28}","{'att': 229, 'def': 23}",11.428571428571429,9.956521739130435,5,23,-0.7049100000000001
7,2016-10-01 15:30:00,l,h,2.65842,1,2.02239,2,1.8587000000000002,0,2.65842,1.26122,"{'att': 291, 'def': 21}","{'att': 229, 'def': 25}",13.857142857142858,9.16,2,16,1.3972
8,2016-10-15 18:00:00,l,a,1.74979,2,3.50519,3,0.4653,0,1.74979,3.50519,"{'att': 240, 'def': 28}","{'att': 299, 'def': 23}",8.571428571428571,13.0,7,11,-1.7553999999999998
9,2016-10-22 18:00:00,d,h,1.33215,0,0.478578,0,2.1412999999999998,1,1.33215,0.478578,"{'att': 219, 'def': 29}","{'att': 214, 'def': 27}",7.551724137931035,7.925925925925926,5,6,0.853572
10,2016-11-01 00:00:00,l,a,1.10058,1,2.16407,3,0.6138,0,1.10058,2.16407,"{'att': 189, 'def': 24}","{'att': 269, 'def': 15}",7.875,17.933333333333334,4,10,-1.0634900000000003
11,2016-11-06 19:00:00,l,h,0.51266,1,1.00006,3,0.8114,0,0.51266,1.00006,"{'att': 452, 'def': 17}","{'att': 292, 'def': 25}",26.58823529411765,11.68,1,10,-0.48739999999999994
12,2016-11-19 19:00:00,d,a,1.07471,1,1.54877,1,0.923,1,0.31354,1.54877,"{'att': 259, 'def': 20}","{'att': 141, 'def': 25}",12.95,5.64,3,2,-1.23523
13,2016-11-26 19:00:00,w,h,3.3955,5,2.28156,4,2.1726,3,3.3955,2.28156,"{'att': 134, 'def': 26}","{'att': 189, 'def': 22}",5.153846153846154,8.590909090909092,8,5,1.1139400000000004
14,2016-12-03 19:00:00,l,a,0.0342109,0,3.9767,5,0.0008,0,0.0342109,3.21553,"{'att': 339, 'def': 27}","{'att': 228, 'def': 27}",12.555555555555555,8.444444444444445,0,14,-3.1813191
15,2016-12-10 19:00:00,w,h,2.18185,3,0.672058,0,2.5092000000000003,3,1.42068,0.672058,"{'att': 144, 'def': 25}","{'att': 260, 'def': 19}",5.76,13.68421052631579,5,5,0.7486219999999999
16,2016-12-15 00:00:00,l,a,1.07221,1,1.78268,3,0.8334,0,1.07221,1.78268,"{'att': 171, 'def': 17}","{'att': 345, 'def': 23}",10.058823529411764,15.0,1,2,-0.7104699999999999
17,2016-12-17 19:00:00,l,a,0.602249,0,1.71549,3,0.46620000000000006,0,0.602249,0.954322,"{'att': 245, 'def': 25}","{'att': 283, 'def': 16}",9.8,17.6875,7,2,-0.35207299999999997
18,2016-12-26 19:00:00,l,h,0.954864,1,3.40585,4,0.1653,0,0.954864,3.40585,"{'att': 227, 'def': 25}","{'att': 328, 'def': 18}",9.08,18.22222222222222,5,6,-2.450986
19,2016-12-31 19:00:00,l,h,0.515218,0,2.43608,3,0.2005,0,0.515218,2.43608,"{'att': 339, 'def': 27}","{'att': 245, 'def': 20}",12.555555555555555,12.25,4,9,-1.920862
20,2017-01-04 00:00:00,w,a,1.18905,2,0.331276,1,2.1603,3,1.18905,0.331276,"{'att': 233, 'def': 21}","{'att': 248, 'def': 33}",11.095238095238095,7.515151515151516,5,3,0.8577739999999999
21,2017-01-14 19:00:00,l,h,0.488485,0,2.31811,4,0.2132,0,0.488485,2.31811,"{'att': 338, 'def': 24}","{'att': 259, 'def': 34}",14.083333333333334,7.617647058823529,7,21,-1.8296249999999998
22,2017-01-21 15:30:00,w,a,1.60482,3,1.24037,2,1.7044000000000001,3,1.60482,1.24037,"{'att': 422, 'def': 11}","{'att': 153, 'def': 32}",38.36363636363637,4.78125,8,14,0.36444999999999994
23,2017-01-31 22:45:00,w,h,0.760046,2,0.907103,1,1.1605999999999999,3,0.760046,0.907103,"{'att': 347, 'def': 22}","{'att': 238, 'def': 26}",15.772727272727273,9.153846153846153,2,5,-0.147057
24,2017-02-05 13:30:00,l,a,0.11445,1,2.87972,2,0.015,0,0.11445,2.87972,"{'att': 367, 'def': 18}","{'att': 156, 'def': 17}",20.38888888888889,9.176470588235293,0,13,-2.7652699999999997
25,2017-02-12 16:00:00,w,h,0.693376,2,0.672883,0,1.3304,3,0.693376,0.672883,"{'att': 263, 'def': 19}","{'att': 270, 'def': 23}",13.842105263157896,11.73913043478261,2,6,0.020492999999999983
26,2017-02-25 15:00:00,l,a,0.280172,1,1.22573,3,0.5119,0,0.280172,1.22573,"{'att': 413, 'def': 27}","{'att': 219, 'def': 21}",15.296296296296296,10.428571428571429,1,19,-0.945558
27,2017-03-04 15:00:00,w,h,1.44545,3,0.933851,2,1.7092,3,1.44545,0.172682,"{'att': 117, 'def': 9}","{'att': 350, 'def': 28}",13.0,12.5,5,2,1.272768
28,2017-03-11 15:00:00,l,a,1.44148,1,1.98818,2,0.9510000000000001,0,1.44148,1.98818,"{'att': 211, 'def': 16}","{'att': 201, 'def': 19}",13.1875,10.578947368421053,3,7,-0.5467
29,2017-03-18 17:30:00,l,a,0.37687,0,1.00816,2,0.7217,0,0.37687,1.00816,"{'att': 236, 'def': 24}","{'att': 249, 'def': 28}",9.833333333333334,8.892857142857142,3,5,-0.6312899999999999
30,2017-04-02 13:30:00,d,h,0.64382,0,0.748206,0,1.1727,1,0.64382,0.748206,"{'att': 195, 'def': 25}","{'att': 205, 'def': 18}",7.8,11.38888888888889,5,5,-0.10438600000000009
31,2017-04-05 19:45:00,l,h,0.872579,1,2.2242,3,0.3997,0,0.872579,2.2242,"{'att': 323, 'def': 16}","{'att': 118, 'def': 20}",20.1875,5.9,3,19,-1.3516210000000002
32,2017-04-08 15:00:00,l,a,0.307666,0,1.20573,1,0.5628,0,0.307666,1.20573,"{'att': 195, 'def': 15}","{'att': 226, 'def': 32}",13.0,7.0625,5,5,-0.898064
33,2017-04-15 15:00:00,l,a,0.641001,0,1.22039,1,0.8015,0,0.641001,1.22039,"{'att': 282, 'def': 23}","{'att': 202, 'def': 15}",12.26086956521739,13.466666666666667,7,1,-0.579389
34,2017-04-22 15:00:00,w,h,0.475636,2,1.69454,0,0.37950000000000006,3,0.475636,0.933369,"{'att': 273, 'def': 20}","{'att': 243, 'def': 15}",13.65,16.2,3,9,-0.457733
35,2017-04-30 12:00:00,d,a,0.775713,1,1.99224,1,0.47009999999999996,1,0.775713,1.23107,"{'att': 297, 'def': 20}","{'att': 224, 'def': 18}",14.85,12.444444444444445,10,5,-0.4553570000000001
36,2017-05-06 17:30:00,w,h,2.09244,1,0.270186,0,2.7889,3,2.09244,0.270186,"{'att': 354, 'def': 15}","{'att': 200, 'def': 19}",23.6,10.526315789473685,4,5,1.8222539999999998
37,2017-05-13 15:00:00,w,a,0.344096,2,1.03765,0,0.6389,3,0.344096,1.03765,"{'att': 242, 'def': 14}","{'att': 237, 'def': 25}",17.285714285714285,9.48,2,4,-0.693554
38,2017-05-21 15:00:00,w,h,1.74555,2,1.60674,1,1.4965000000000002,3,1.74555,1.60674,"{'att': 162, 'def': 18}","{'att': 351, 'def': 14}",9.0,25.071428571428573,5,5,0.13880999999999988
