GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-13 18:00:00,w,a,0.684593,1,0.990062,0,1.0403,3,0.684593,0.990062,"{'att': 184, 'def': 26}","{'att': 98, 'def': 23}",7.076923076923077,4.260869565217392,5,4,-0.305469
2,2016-08-20 18:00:00,l,h,2.01885,1,1.83897,2,1.4513999999999998,0,2.01885,1.83897,"{'att': 321, 'def': 27}","{'att': 136, 'def': 28}",11.88888888888889,4.857142857142857,7,8,0.17988000000000004
3,2016-08-28 16:30:00,d,h,0.696845,0,0.396816,0,1.5925,1,0.696845,0.396816,"{'att': 322, 'def': 18}","{'att': 175, 'def': 26}",17.88888888888889,6.730769230769231,5,4,0.30002900000000005
4,2016-09-10 18:00:00,l,a,1.48347,0,0.986511,1,1.8146,0,1.48347,0.986511,"{'att': 224, 'def': 21}","{'att': 130, 'def': 19}",10.666666666666666,6.842105263157895,4,8,0.49695900000000004
5,2016-09-17 18:00:00,w,h,1.94229,4,2.37422,2,1.1062999999999998,3,1.18112,1.61305,"{'att': 366, 'def': 19}","{'att': 131, 'def': 29}",19.263157894736842,4.517241379310345,2,10,-0.43193000000000015
6,2016-09-24 18:00:00,d,a,0.270862,1,0.979673,1,0.6426000000000001,1,0.270862,0.979673,"{'att': 203, 'def': 26}","{'att': 153, 'def': 21}",7.8076923076923075,7.285714285714286,3,4,-0.7088110000000001
7,2016-10-01 18:00:00,d,a,0.88211,1,1.19268,1,1.02,1,0.88211,1.19268,"{'att': 200, 'def': 10}","{'att': 166, 'def': 22}",20.0,7.545454545454546,7,8,-0.31057
8,2016-10-15 18:00:00,d,h,1.30365,1,1.32318,1,1.3973,1,1.30365,1.32318,"{'att': 325, 'def': 21}","{'att': 80, 'def': 19}",15.476190476190476,4.2105263157894735,2,13,-0.019530000000000047
9,2016-10-22 20:30:00,l,a,0.685982,1,2.2952,2,0.37770000000000004,0,0.685982,2.2952,"{'att': 366, 'def': 20}","{'att': 138, 'def': 17}",18.3,8.117647058823529,4,13,-1.6092179999999998
10,2016-10-29 18:00:00,l,h,0.596605,0,2.48018,4,0.2733,0,0.596605,2.48018,"{'att': 389, 'def': 24}","{'att': 169, 'def': 22}",16.208333333333332,7.681818181818182,3,13,-1.8835749999999998
11,2016-11-06 20:30:00,w,a,0.78196,2,0.629678,1,1.4192,3,0.78196,0.629678,"{'att': 266, 'def': 27}","{'att': 166, 'def': 19}",9.851851851851851,8.736842105263158,1,5,0.15228200000000003
12,2016-11-22 00:00:00,w,h,1.40512,4,0.571005,0,2.0702,3,1.40512,0.571005,"{'att': 300, 'def': 14}","{'att': 192, 'def': 22}",21.428571428571427,8.727272727272727,3,2,0.8341149999999999
13,2016-11-26 19:00:00,d,a,1.40213,1,0.424457,1,2.2003,1,1.40213,0.424457,"{'att': 284, 'def': 15}","{'att': 203, 'def': 20}",18.933333333333334,10.15,3,2,0.9776730000000001
14,2016-12-03 19:00:00,w,h,1.17737,3,1.476,1,1.0582,3,1.17737,1.476,"{'att': 242, 'def': 14}","{'att': 134, 'def': 18}",17.285714285714285,7.444444444444445,2,6,-0.29862999999999995
15,2016-12-11 16:00:00,l,a,0.212574,0,0.551109,1,0.8572,0,0.212574,0.551109,"{'att': 278, 'def': 26}","{'att': 123, 'def': 21}",10.692307692307692,5.857142857142857,0,4,-0.3385349999999999
16,2016-12-15 00:00:00,w,h,1.78268,3,1.07221,1,1.8986999999999998,3,1.78268,1.07221,"{'att': 345, 'def': 23}","{'att': 171, 'def': 17}",15.0,10.058823529411764,2,1,0.7104699999999999
17,2016-12-17 21:30:00,l,h,0.600426,0,0.983306,2,0.9458,0,0.600426,0.983306,"{'att': 335, 'def': 21}","{'att': 186, 'def': 23}",15.952380952380953,8.08695652173913,3,6,-0.38288
18,2016-12-26 19:00:00,l,a,0.687502,0,1.97881,1,0.4832,0,0.687502,1.97881,"{'att': 314, 'def': 13}","{'att': 129, 'def': 29}",24.153846153846153,4.448275862068965,0,24,-1.291308
19,2016-12-31 19:00:00,w,a,0.6675,2,0.371668,1,1.5958,3,0.6675,0.371668,"{'att': 310, 'def': 33}","{'att': 115, 'def': 30}",9.393939393939394,3.8333333333333335,3,4,0.295832
20,2017-01-02 19:00:00,w,h,0.883566,3,0.992341,1,1.2302,3,0.883566,0.992341,"{'att': 291, 'def': 15}","{'att': 189, 'def': 16}",19.4,11.8125,1,2,-0.10877500000000007
21,2017-01-14 16:30:00,l,a,0.165019,0,2.65474,4,0.07289999999999999,0,0.165019,2.65474,"{'att': 380, 'def': 30}","{'att': 117, 'def': 23}",12.666666666666666,5.086956521739131,1,9,-2.489721
22,2017-01-21 18:00:00,w,h,1.3279,2,0.440887,0,2.1710000000000003,3,1.3279,0.440887,"{'att': 219, 'def': 21}","{'att': 168, 'def': 18}",10.428571428571429,9.333333333333334,5,5,0.887013
23,2017-01-31 22:45:00,d,a,1.25288,1,1.18135,1,1.3416,1,1.25288,0.420177,"{'att': 260, 'def': 22}","{'att': 105, 'def': 17}",11.818181818181818,6.176470588235294,4,5,0.832703
