GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-11 19:45:00,w,h,2.54329,4,1.46495,3,2.0993999999999997,3,2.54329,1.46495,"{'att': 98, 'def': 18}","{'att': 298, 'def': 22}",5.444444444444445,13.545454545454545,13,2,1.0783399999999999
2,2017-08-19 17:30:00,l,a,1.40658,0,0.692644,1,1.9357,0,1.40658,0.692644,"{'att': 97, 'def': 19}","{'att': 361, 'def': 15}",5.105263157894737,24.066666666666666,15,4,0.7139359999999999
3,2017-08-27 16:00:00,l,a,0.484816,0,3.45998,4,0.0796,0,0.484816,3.45998,"{'att': 275, 'def': 27}","{'att': 329, 'def': 19}",10.185185185185185,17.31578947368421,9,4,-2.975164
4,2017-09-09 15:00:00,w,h,2.48732,3,0.577291,0,2.6154,3,2.48732,0.577291,"{'att': 232, 'def': 30}","{'att': 306, 'def': 19}",7.733333333333333,16.105263157894736,12,2,1.910029
5,2017-09-17 13:30:00,d,a,1.42208,0,0.762129,0,1.9881,1,1.42208,0.762129,"{'att': 311, 'def': 31}","{'att': 284, 'def': 17}",10.03225806451613,16.705882352941178,5,4,0.6599510000000001
6,2017-09-25 20:00:00,w,h,2.39316,2,0.766652,0,2.5627999999999997,3,1.63199,0.766652,"{'att': 137, 'def': 25}","{'att': 315, 'def': 28}",5.48,11.25,13,4,0.865338
7,2017-10-01 12:00:00,w,h,2.47818,2,0.386343,0,2.7221,3,2.47818,0.386343,"{'att': 185, 'def': 22}","{'att': 338, 'def': 12}",8.409090909090908,28.166666666666668,15,5,2.091837
8,2017-10-14 17:30:00,l,a,0.988468,1,1.63418,2,0.7794,0,0.988468,0.873011,"{'att': 264, 'def': 23}","{'att': 309, 'def': 19}",11.478260869565217,16.263157894736842,8,4,0.11545700000000003
9,2017-10-22 13:30:00,w,a,3.86029,5,0.810989,2,2.8539,3,3.86029,0.810989,"{'att': 138, 'def': 16}","{'att': 346, 'def': 19}",8.625,18.210526315789473,17,0,3.049301
10,2017-10-28 15:00:00,w,h,2.37777,2,0.8355,1,2.4318,3,2.37777,0.8355,"{'att': 164, 'def': 22}","{'att': 381, 'def': 17}",7.454545454545454,22.41176470588235,19,3,1.5422699999999998
11,2017-11-05 14:15:00,l,a,0.340407,1,2.15028,3,0.163,0,0.340407,1.38911,"{'att': 375, 'def': 32}","{'att': 247, 'def': 30}",11.71875,8.233333333333333,1,10,-1.0487030000000002
12,2017-11-18 12:30:00,w,h,2.24246,2,0.591192,0,2.5286999999999997,3,2.24246,0.591192,"{'att': 278, 'def': 29}","{'att': 195, 'def': 22}",9.586206896551724,8.863636363636363,11,9,1.651268
13,2017-11-26 14:00:00,w,a,1.75184,1,0.402745,0,2.5132000000000003,3,0.990669,0.402745,"{'att': 181, 'def': 15}","{'att': 335, 'def': 21}",12.066666666666666,15.952380952380953,12,0,0.587924
14,2017-11-29 19:45:00,w,h,4.47889,5,0.475716,0,2.9731,3,4.47889,0.475716,"{'att': 207, 'def': 25}","{'att': 522, 'def': 19}",8.28,27.473684210526315,19,3,4.003174
15,2017-12-02 17:30:00,l,h,4.24057,1,2.06831,3,2.6157000000000004,0,4.24057,2.06831,"{'att': 92, 'def': 20}","{'att': 294, 'def': 15}",4.6,19.6,32,8,2.17226
16,2017-12-10 12:00:00,d,a,0.608352,1,1.21942,1,0.774,1,0.608352,1.21942,"{'att': 216, 'def': 22}","{'att': 347, 'def': 18}",9.818181818181818,19.27777777777778,24,2,-0.611068
17,2017-12-13 20:00:00,d,a,1.02186,0,0.405172,0,1.8651,1,1.02186,0.405172,"{'att': 143, 'def': 27}","{'att': 284, 'def': 21}",5.296296296296297,13.523809523809524,20,5,0.616688
18,2017-12-16 15:00:00,w,h,2.02472,1,0.286547,0,2.5936,3,2.02472,0.286547,"{'att': 141, 'def': 34}","{'att': 399, 'def': 20}",4.147058823529412,19.95,21,2,1.7381729999999997
19,2017-12-22 19:45:00,d,h,1.13104,3,2.05947,3,0.7022999999999999,1,1.13104,2.05947,"{'att': 229, 'def': 25}","{'att': 277, 'def': 30}",9.16,9.233333333333333,12,8,-0.9284300000000001
20,2017-12-28 20:00:00,w,a,1.84104,3,1.14522,2,1.8897999999999997,3,1.84104,1.14522,"{'att': 155, 'def': 16}","{'att': 359, 'def': 35}",9.6875,10.257142857142858,19,8,0.6958200000000001
21,2017-12-31 16:30:00,d,a,0.917801,1,1.39429,1,0.9135,1,0.917801,0.633119,"{'att': 156, 'def': 8}","{'att': 316, 'def': 21}",19.5,15.047619047619047,12,6,0.284682
22,2018-01-03 19:45:00,d,h,1.23205,2,3.0768,2,0.35719999999999996,1,1.23205,2.31563,"{'att': 264, 'def': 24}","{'att': 326, 'def': 26}",11.0,12.538461538461538,18,11,-1.08358
23,2018-01-14 13:30:00,l,a,1.00956,1,0.822285,2,1.5251000000000001,0,1.00956,0.822285,"{'att': 151, 'def': 21}","{'att': 296, 'def': 29}",7.190476190476191,10.206896551724139,3,9,0.18727499999999997
24,2018-01-20 15:00:00,w,h,3.56519,4,0.501202,1,2.9279,3,3.56519,0.501202,"{'att': 237, 'def': 19}","{'att': 402, 'def': 19}",12.473684210526315,21.157894736842106,19,7,3.0639879999999997
25,2018-01-30 19:45:00,l,a,1.15616,1,2.37911,3,0.5703,0,1.15616,2.37911,"{'att': 160, 'def': 13}","{'att': 416, 'def': 8}",12.307692307692308,52.0,12,1,-1.2229499999999998
26,2018-02-03 17:30:00,w,h,3.19622,5,1.49065,1,2.4239,3,3.19622,1.49065,"{'att': 206, 'def': 14}","{'att': 333, 'def': 23}",14.714285714285714,14.478260869565217,11,7,1.7055699999999998
27,2018-02-10 12:30:00,l,a,0.487297,0,2.63564,1,0.19090000000000001,0,0.487297,2.63564,"{'att': 266, 'def': 17}","{'att': 317, 'def': 30}",15.647058823529411,10.566666666666666,7,6,-2.148343
28,2018-03-01 19:45:00,l,h,1.30172,0,1.92605,3,0.8324999999999999,0,0.540552,1.92605,"{'att': 417, 'def': 39}","{'att': 295, 'def': 14}",10.692307692307692,21.071428571428573,7,7,-1.3854980000000001
29,2018-03-04 13:30:00,l,a,0.801513,1,1.48498,2,0.7777000000000001,0,0.801513,1.48498,"{'att': 134, 'def': 25}","{'att': 291, 'def': 23}",5.36,12.652173913043478,11,9,-0.6834669999999999
30,2018-03-11 13:30:00,w,h,2.38263,3,1.54676,0,2.0114,3,2.38263,0.785587,"{'att': 151, 'def': 20}","{'att': 284, 'def': 17}",7.55,16.705882352941178,8,7,1.5970429999999998
31,2018-04-01 13:30:00,w,h,3.56649,3,0.342516,0,2.9573,3,2.04415,0.342516,"{'att': 104, 'def': 19}","{'att': 400, 'def': 21}",5.473684210526316,19.047619047619047,13,4,1.701634
32,2018-04-08 13:15:00,w,h,1.58895,3,2.16699,2,0.9058,3,1.58895,2.16699,"{'att': 170, 'def': 15}","{'att': 348, 'def': 15}",11.333333333333334,23.2,7,7,-0.5780400000000001
33,2018-04-15 12:30:00,l,a,1.41538,1,0.888452,2,1.781,0,1.41538,0.888452,"{'att': 132, 'def': 27}","{'att': 422, 'def': 27}",4.888888888888889,15.62962962962963,10,6,0.5269280000000001
34,2018-04-22 12:30:00,w,h,2.07299,4,0.623161,1,2.4329,3,2.07299,0.623161,"{'att': 159, 'def': 19}","{'att': 328, 'def': 10}",8.368421052631579,32.8,18,5,1.4498289999999998
35,2018-04-29 15:30:00,l,a,0.651541,1,1.54667,2,0.5783,0,0.651541,1.54667,"{'att': 367, 'def': 21}","{'att': 279, 'def': 32}",17.476190476190474,8.71875,5,8,-0.895129
36,2018-05-06 16:30:00,w,h,2.92408,5,0.21671,0,2.9444,3,2.92408,0.21671,"{'att': 232, 'def': 21}","{'att': 397, 'def': 15}",11.047619047619047,26.466666666666665,12,3,2.70737
37,2018-05-09 19:45:00,l,a,1.54443,1,2.19801,3,0.8976999999999999,0,1.54443,1.43684,"{'att': 144, 'def': 17}","{'att': 271, 'def': 23}",8.470588235294118,11.782608695652174,10,9,0.10759000000000007
38,2018-05-13 15:00:00,w,a,2.3322,1,1.31031,0,2.1845999999999997,3,2.3322,1.31031,"{'att': 197, 'def': 12}","{'att': 309, 'def': 32}",16.416666666666668,9.65625,8,4,1.0218899999999997
