GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-12 15:00:00,l,h,0.988934,0,1.73657,3,0.7084,0,0.988934,1.73657,"{'att': 117, 'def': 18}","{'att': 221, 'def': 32}",6.5,6.90625,3,5,-0.747636
2,2017-08-19 15:00:00,l,a,0.727364,0,2.84978,1,0.2054,0,0.727364,2.84978,"{'att': 401, 'def': 19}","{'att': 127, 'def': 31}",21.105263157894736,4.096774193548387,4,11,-2.122416
3,2017-08-26 15:00:00,l,h,0.818951,0,0.966783,2,1.1777,0,0.818951,0.966783,"{'att': 291, 'def': 19}","{'att': 288, 'def': 12}",15.31578947368421,24.0,8,1,-0.14783199999999996
4,2017-09-10 13:30:00,l,a,1.72996,0,0.429329,1,2.4137,0,1.72996,0.429329,"{'att': 108, 'def': 23}","{'att': 209, 'def': 26}",4.695652173913044,8.038461538461538,8,2,1.3006309999999999
5,2017-09-16 12:30:00,l,h,2.03243,0,1.11428,1,2.0549,0,2.03243,1.11428,"{'att': 279, 'def': 22}","{'att': 188, 'def': 20}",12.681818181818182,9.4,10,13,0.9181500000000002
6,2017-09-23 15:00:00,l,a,0.611018,0,5.72543,5,0.0045000000000000005,0,0.611018,5.72543,"{'att': 377, 'def': 13}","{'att': 163, 'def': 23}",29.0,7.086956521739131,2,18,-5.114412000000001
7,2017-09-30 15:00:00,l,a,0.244321,0,3.47508,4,0.0325,0,0.244321,3.47508,"{'att': 376, 'def': 26}","{'att': 200, 'def': 19}",14.461538461538462,10.526315789473685,3,9,-3.230759
8,2017-10-14 15:00:00,w,h,1.51873,2,0.651919,1,2.0890999999999997,3,1.51873,0.651919,"{'att': 318, 'def': 34}","{'att': 205, 'def': 25}",9.352941176470589,8.2,10,6,0.8668109999999999
9,2017-10-21 15:00:00,l,a,0.566845,0,0.270313,1,1.5842,0,0.566845,0.270313,"{'att': 270, 'def': 26}","{'att': 180, 'def': 25}",10.384615384615385,7.2,3,4,0.296532
10,2017-10-28 15:00:00,d,h,2.91672,2,0.742845,2,2.7682,1,2.15555,0.742845,"{'att': 169, 'def': 30}","{'att': 224, 'def': 21}",5.633333333333334,10.666666666666666,11,5,1.4127049999999999
11,2017-11-05 12:00:00,l,a,1.10222,0,0.991813,1,1.4325999999999999,0,1.10222,0.991813,"{'att': 326, 'def': 17}","{'att': 126, 'def': 23}",19.176470588235293,5.478260869565218,2,8,0.11040700000000003
12,2017-11-18 15:00:00,d,h,2.02983,2,1.68728,2,1.6367,1,2.02983,0.926114,"{'att': 103, 'def': 18}","{'att': 276, 'def': 34}",5.722222222222222,8.117647058823529,9,4,1.103716
13,2017-11-25 15:00:00,w,h,1.48339,2,0.628292,1,2.1162,3,1.48339,0.628292,"{'att': 202, 'def': 23}","{'att': 243, 'def': 20}",8.782608695652174,12.15,8,3,0.855098
14,2017-11-28 19:45:00,d,a,0.584296,0,0.475162,0,1.4193000000000002,1,0.584296,0.475162,"{'att': 257, 'def': 13}","{'att': 224, 'def': 19}",19.76923076923077,11.789473684210526,1,2,0.10913400000000006
