GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-12 15:00:00,w,h,0.720574,1,0.27644,0,1.7647,3,0.720574,0.27644,"{'att': 130, 'def': 21}","{'att': 289, 'def': 20}",6.190476190476191,14.45,3,9,0.44413400000000003
2,2017-08-21 20:00:00,d,a,0.59971,1,1.14216,1,0.8764,1,0.59971,1.14216,"{'att': 279, 'def': 13}","{'att': 149, 'def': 13}",21.46153846153846,11.461538461538462,1,14,-0.5424500000000001
3,2017-08-27 13:30:00,l,a,0.326655,0,1.16991,2,0.6019000000000001,0,0.326655,1.16991,"{'att': 350, 'def': 20}","{'att': 282, 'def': 19}",17.5,14.842105263157896,4,11,-0.8432550000000001
4,2017-09-09 15:00:00,l,h,1.15144,0,2.17535,3,0.6814,0,1.15144,2.17535,"{'att': 242, 'def': 23}","{'att': 275, 'def': 26}",10.521739130434783,10.576923076923077,9,9,-1.0239099999999999
5,2017-09-17 16:00:00,l,a,1.06298,0,3.28722,4,0.21440000000000003,0,1.06298,2.52605,"{'att': 218, 'def': 23}","{'att': 326, 'def': 31}",9.478260869565217,10.516129032258064,1,5,-1.46307
6,2017-09-23 15:00:00,w,h,2.21092,2,0.384728,1,2.7649000000000004,3,2.21092,0.384728,"{'att': 208, 'def': 23}","{'att': 210, 'def': 16}",9.043478260869565,13.125,12,6,1.8261920000000003
7,2017-10-01 14:15:00,l,h,0.93376,0,0.383977,1,1.8204,0,0.93376,0.383977,"{'att': 122, 'def': 14}","{'att': 242, 'def': 15}",8.714285714285714,16.133333333333333,18,6,0.549783
8,2017-10-15 13:30:00,d,a,1.45518,1,1.05884,1,1.7146,1,0.694013,1.05884,"{'att': 203, 'def': 23}","{'att': 254, 'def': 17}",8.826086956521738,14.941176470588236,5,9,-0.364827
9,2017-10-22 13:30:00,l,h,0.810989,2,3.86029,5,0.09540000000000001,0,0.810989,3.86029,"{'att': 346, 'def': 19}","{'att': 138, 'def': 16}",18.210526315789473,8.625,0,17,-3.049301
10,2017-10-29 16:00:00,l,a,0.575236,0,1.36768,2,0.6357999999999999,0,0.575236,1.36768,"{'att': 161, 'def': 33}","{'att': 214, 'def': 11}",4.878787878787879,19.454545454545453,5,4,-0.792444
11,2017-11-05 16:30:00,w,h,2.5796,3,2.05534,2,1.7572,3,1.81843,1.29417,"{'att': 211, 'def': 29}","{'att': 120, 'def': 13}",7.275862068965517,9.23076923076923,7,6,0.52426
12,2017-11-18 15:00:00,d,a,1.68728,2,2.02983,2,1.0928,1,0.926114,2.02983,"{'att': 276, 'def': 34}","{'att': 103, 'def': 18}",8.117647058823529,5.722222222222222,4,9,-1.103716
13,2017-11-26 13:30:00,l,a,0.147724,1,1.97034,4,0.1619,0,0.147724,1.97034,"{'att': 383, 'def': 21}","{'att': 166, 'def': 14}",18.238095238095237,11.857142857142858,1,4,-1.822616
14,2017-11-29 20:00:00,w,h,1.76497,4,1.03658,0,2.0473999999999997,3,0.90791,0.275413,"{'att': 284, 'def': 31}","{'att': 248, 'def': 15}",9.161290322580646,16.533333333333335,5,10,0.632497
15,2017-12-02 15:00:00,w,h,0.820024,2,0.223429,0,1.9512,3,0.820024,0.223429,"{'att': 177, 'def': 22}","{'att': 169, 'def': 16}",8.045454545454545,10.5625,7,4,0.596595
16,2017-12-10 14:15:00,d,a,0.823217,1,1.89569,1,0.5640000000000001,1,0.062048,1.89569,"{'att': 342, 'def': 20}","{'att': 66, 'def': 17}",17.1,3.8823529411764706,0,17,-1.833642
17,2017-12-13 19:45:00,w,a,1.38719,1,0.570658,0,2.2398,3,1.38719,0.570658,"{'att': 273, 'def': 26}","{'att': 249, 'def': 21}",10.5,11.857142857142858,1,2,0.8165319999999999
18,2017-12-18 20:00:00,w,h,2.01756,3,0.766224,1,2.4695,3,0.474817,0.766224,"{'att': 231, 'def': 23}","{'att': 262, 'def': 18}",10.043478260869565,14.555555555555555,0,1,-0.291407
19,2017-12-23 12:30:00,d,h,0.342403,0,1.84971,0,0.2518,1,0.342403,1.84971,"{'att': 320, 'def': 25}","{'att': 167, 'def': 17}",12.8,9.823529411764707,1,17,-1.507307
20,2017-12-26 15:00:00,d,a,0.405775,0,1.18168,0,0.6531,1,0.405775,1.18168,"{'att': 155, 'def': 18}","{'att': 146, 'def': 19}",8.61111111111111,7.684210526315789,1,3,-0.7759050000000001
21,2017-12-30 15:00:00,l,a,0.599608,1,1.39955,2,0.7019,0,0.599608,1.39955,"{'att': 151, 'def': 28}","{'att': 271, 'def': 18}",5.392857142857143,15.055555555555555,6,7,-0.799942
22,2018-01-01 17:30:00,l,h,1.23952,0,1.26247,2,1.2988,0,1.23952,1.26247,"{'att': 286, 'def': 18}","{'att': 163, 'def': 20}",15.88888888888889,8.15,8,5,-0.022950000000000026
23,2018-01-13 17:30:00,l,a,0.290345,0,4.21366,4,0.009600000000000001,0,0.290345,4.21366,"{'att': 319, 'def': 30}","{'att': 198, 'def': 29}",10.633333333333333,6.827586206896552,3,8,-3.923315
24,2018-01-20 15:00:00,d,h,0.92355,1,1.34998,1,0.9985999999999999,1,0.92355,1.34998,"{'att': 165, 'def': 37}","{'att': 226, 'def': 21}",4.45945945945946,10.761904761904763,7,3,-0.42643
25,2018-01-31 19:45:00,w,h,1.53072,2,2.65018,1,0.5764,3,1.53072,1.88901,"{'att': 246, 'def': 30}","{'att': 167, 'def': 17}",8.2,9.823529411764707,5,2,-0.35829
