GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-12 15:00:00,l,a,0.27644,0,0.720574,1,0.808,0,0.27644,0.720574,"{'att': 289, 'def': 20}","{'att': 130, 'def': 21}",14.45,6.190476190476191,9,3,-0.44413400000000003
2,2017-08-19 17:30:00,w,h,0.692644,1,1.40658,0,0.7879,3,0.692644,1.40658,"{'att': 361, 'def': 15}","{'att': 97, 'def': 19}",24.066666666666666,5.105263157894737,4,15,-0.7139359999999999
3,2017-08-27 13:30:00,d,a,0.980905,1,0.875132,1,1.4047,1,0.980905,0.875132,"{'att': 169, 'def': 19}","{'att': 240, 'def': 20}",8.894736842105264,12.0,8,2,0.105773
4,2017-09-09 17:30:00,d,h,1.49928,2,1.96635,2,1.0458,1,1.49928,1.96635,"{'att': 310, 'def': 20}","{'att': 189, 'def': 17}",15.5,11.117647058823529,1,9,-0.4670700000000001
5,2017-09-16 15:00:00,l,a,0.675783,1,2.6598,2,0.2318,0,0.675783,2.6598,"{'att': 137, 'def': 19}","{'att': 208, 'def': 20}",7.2105263157894735,10.4,5,3,-1.9840170000000001
6,2017-09-23 15:00:00,l,h,0.600959,0,1.59815,4,0.496,0,0.600959,1.59815,"{'att': 358, 'def': 17}","{'att': 189, 'def': 18}",21.058823529411764,10.5,8,7,-0.9971909999999999
7,2017-09-30 15:00:00,w,h,2.68136,2,1.42781,1,2.2855,3,1.92019,1.42781,"{'att': 374, 'def': 24}","{'att': 112, 'def': 19}",15.583333333333334,5.894736842105263,9,14,0.49238000000000004
8,2017-10-14 15:00:00,l,a,0.681236,2,4.45388,7,0.022899999999999997,0,0.681236,4.45388,"{'att': 586, 'def': 8}","{'att': 125, 'def': 24}",73.25,5.208333333333333,2,19,-3.7726439999999997
9,2017-10-21 15:00:00,l,h,1.60117,1,1.11834,2,1.7687,0,1.60117,0.357172,"{'att': 226, 'def': 29}","{'att': 182, 'def': 24}",7.793103448275862,7.583333333333333,9,3,1.243998
10,2017-10-28 15:00:00,w,a,0.778883,1,1.13448,0,1.0463,3,0.778883,1.13448,"{'att': 295, 'def': 9}","{'att': 114, 'def': 18}",32.77777777777778,6.333333333333333,4,13,-0.35559699999999994
11,2017-11-04 12:30:00,d,h,1.22988,2,1.39563,2,1.2475,1,1.22988,1.39563,"{'att': 251, 'def': 21}","{'att': 173, 'def': 14}",11.952380952380953,12.357142857142858,7,4,-0.16574999999999984
12,2017-11-20 20:00:00,d,a,1.20507,2,0.490058,2,2.0303,1,1.20507,0.490058,"{'att': 268, 'def': 11}","{'att': 222, 'def': 28}",24.363636363636363,7.928571428571429,6,3,0.7150120000000001
13,2017-11-25 15:00:00,l,a,0.628292,1,1.48339,2,0.6285000000000001,0,0.628292,1.48339,"{'att': 243, 'def': 20}","{'att': 202, 'def': 23}",12.15,8.782608695652174,3,8,-0.855098
14,2017-11-29 20:00:00,l,h,0.846748,0,2.58757,3,0.3045,0,0.846748,2.58757,"{'att': 334, 'def': 15}","{'att': 184, 'def': 23}",22.266666666666666,8.0,2,7,-1.740822
15,2017-12-02 15:00:00,w,h,1.24743,2,0.320601,1,2.2439,3,1.24743,0.320601,"{'att': 287, 'def': 18}","{'att': 184, 'def': 26}",15.944444444444445,7.076923076923077,9,0,0.926829
16,2017-12-09 15:00:00,l,a,0.749296,1,4.01925,5,0.051199999999999996,0,0.749296,4.01925,"{'att': 401, 'def': 10}","{'att': 111, 'def': 29}",40.1,3.8275862068965516,4,15,-3.2699540000000002
17,2017-12-12 19:45:00,l,a,0.916344,0,0.360081,1,1.8778000000000001,0,0.916344,0.360081,"{'att': 186, 'def': 17}","{'att': 153, 'def': 18}",10.941176470588236,8.5,5,3,0.5562630000000001
18,2017-12-16 16:00:00,l,h,0.983293,0,3.08244,3,0.2576,0,0.983293,2.32127,"{'att': 212, 'def': 40}","{'att': 195, 'def': 15}",5.3,13.0,4,6,-1.3379770000000002
19,2017-12-23 15:00:00,w,h,1.7986,3,2.0544,1,1.2113,3,1.7986,2.0544,"{'att': 221, 'def': 27}","{'att': 189, 'def': 21}",8.185185185185185,9.0,2,9,-0.2557999999999998
20,2017-12-26 15:00:00,d,a,1.19984,1,1.8756,1,0.8985000000000001,1,1.19984,1.8756,"{'att': 288, 'def': 20}","{'att': 183, 'def': 22}",14.4,8.318181818181818,3,7,-0.6757599999999999
21,2017-12-30 15:00:00,l,a,0.28218,0,3.09527,5,0.043800000000000006,0,0.28218,2.33414,"{'att': 405, 'def': 19}","{'att': 296, 'def': 16}",21.31578947368421,18.5,0,4,-2.0519600000000002
22,2018-01-01 15:00:00,l,h,1.50029,0,2.02028,1,0.979,0,1.50029,2.02028,"{'att': 175, 'def': 21}","{'att': 274, 'def': 22}",8.333333333333334,12.454545454545455,6,4,-0.5199900000000002
23,2018-01-15 20:00:00,l,a,1.47603,0,1.9485,3,1.0388,0,1.47603,1.9485,"{'att': 366, 'def': 13}","{'att': 249, 'def': 26}",28.153846153846153,9.576923076923077,7,16,-0.47246999999999995
24,2018-01-20 15:00:00,w,h,0.987799,2,0.238458,0,2.046,3,0.987799,0.238458,"{'att': 131, 'def': 27}","{'att': 158, 'def': 16}",4.851851851851852,9.875,3,0,0.749341
25,2018-01-31 20:00:00,d,h,0.722172,0,0.740773,0,1.2919,1,0.722172,0.740773,"{'att': 111, 'def': 16}","{'att': 121, 'def': 18}",6.9375,6.722222222222222,5,6,-0.01860099999999998
26,2018-02-03 15:00:00,l,a,0.721222,1,1.91091,2,0.5264,0,0.721222,1.91091,"{'att': 198, 'def': 30}","{'att': 148, 'def': 19}",6.6,7.7894736842105265,6,9,-1.189688
27,2018-02-10 15:00:00,d,h,1.39547,1,0.897856,1,1.8327,1,0.634299,0.897856,"{'att': 143, 'def': 13}","{'att': 211, 'def': 21}",11.0,10.047619047619047,5,11,-0.26355700000000004
28,2018-02-24 12:30:00,d,a,0.166078,1,1.12487,1,0.4493,1,0.166078,1.12487,"{'att': 220, 'def': 30}","{'att': 97, 'def': 26}",7.333333333333333,3.730769230769231,3,4,-0.9587920000000001
29,2018-03-03 15:00:00,d,a,0.385303,0,0.982895,0,0.7547,1,0.385303,0.982895,"{'att': 202, 'def': 18}","{'att': 94, 'def': 23}",11.222222222222221,4.086956521739131,7,6,-0.5975919999999999
30,2018-03-12 20:00:00,l,h,0.157023,0,1.64562,2,0.2606,0,0.157023,1.64562,"{'att': 541, 'def': 12}","{'att': 119, 'def': 23}",45.083333333333336,5.173913043478261,3,12,-1.4885970000000002
31,2018-03-17 15:00:00,l,h,0.894266,1,2.97881,2,0.1708,0,0.894266,2.97881,"{'att': 243, 'def': 21}","{'att': 175, 'def': 23}",11.571428571428571,7.608695652173913,8,4,-2.084544
32,2018-04-01 13:30:00,l,a,0.342516,0,3.56649,3,0.0254,0,0.342516,2.04415,"{'att': 400, 'def': 21}","{'att': 104, 'def': 19}",19.047619047619047,5.473684210526316,4,13,-1.701634
33,2018-04-07 14:00:00,l,h,1.40115,1,1.79894,2,1.0935,0,1.40115,1.79894,"{'att': 304, 'def': 31}","{'att': 96, 'def': 16}",9.806451612903226,6.0,4,7,-0.3977900000000001
34,2018-04-16 19:00:00,d,a,1.41085,1,0.807456,1,1.9075000000000002,1,1.41085,0.807456,"{'att': 224, 'def': 25}","{'att': 126, 'def': 23}",8.96,5.478260869565218,10,19,0.603394
35,2018-04-22 12:30:00,d,h,0.356095,1,1.61309,1,0.2891,1,0.356095,1.61309,"{'att': 182, 'def': 16}","{'att': 119, 'def': 9}",11.375,13.222222222222221,5,3,-1.2569949999999999
36,2018-04-28 11:30:00,d,a,0.777827,0,2.11658,0,0.4421,1,0.777827,2.11658,"{'att': 315, 'def': 20}","{'att': 94, 'def': 11}",15.75,8.545454545454545,2,20,-1.3387529999999999
37,2018-05-05 12:30:00,l,h,0.750175,1,1.31471,2,0.8856999999999999,0,0.750175,1.31471,"{'att': 197, 'def': 30}","{'att': 129, 'def': 14}",6.566666666666666,9.214285714285714,5,9,-0.564535
38,2018-05-13 15:00:00,w,a,1.75436,2,1.70936,1,1.4818,3,0.993196,1.70936,"{'att': 276, 'def': 13}","{'att': 269, 'def': 28}",21.23076923076923,9.607142857142858,2,18,-0.716164
