GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-13 13:30:00,w,a,2.34418,2,0.634633,0,2.5751,3,2.34418,0.634633,"{'att': 114, 'def': 16}","{'att': 413, 'def': 14}",7.125,29.5,8,2,1.7095470000000001
2,2017-08-20 16:00:00,l,h,0.72428,1,0.834423,2,1.2090999999999998,0,0.72428,0.834423,"{'att': 151, 'def': 18}","{'att': 325, 'def': 23}",8.38888888888889,14.130434782608695,8,2,-0.11014299999999999
3,2017-08-27 16:00:00,d,h,2.3497,1,0.670943,1,2.4954,1,2.3497,0.670943,"{'att': 145, 'def': 21}","{'att': 319, 'def': 18}",6.904761904761905,17.72222222222222,15,5,1.678757
4,2017-09-09 15:00:00,w,a,2.17535,3,1.15144,0,2.1075999999999997,3,2.17535,1.15144,"{'att': 275, 'def': 26}","{'att': 242, 'def': 23}",10.576923076923077,10.521739130434783,9,9,1.0239099999999999
5,2017-09-16 17:30:00,d,h,1.17894,0,0.154074,0,2.2479,1,1.17894,0.154074,"{'att': 125, 'def': 26}","{'att': 341, 'def': 14}",4.8076923076923075,24.357142857142858,12,0,1.024866
6,2017-09-23 12:30:00,w,a,1.45327,3,0.67667,2,2.0349,3,1.45327,0.67667,"{'att': 178, 'def': 26}","{'att': 219, 'def': 35}",6.846153846153846,6.257142857142857,3,2,0.7766000000000001
7,2017-09-30 12:30:00,w,a,1.56089,4,0.196648,0,2.4672,3,1.56089,0.196648,"{'att': 200, 'def': 15}","{'att': 349, 'def': 28}",13.333333333333334,12.464285714285714,11,2,1.3642420000000002
8,2017-10-14 15:00:00,w,h,1.95684,1,0.17504,0,2.6984,3,1.95684,0.17504,"{'att': 130, 'def': 30}","{'att': 391, 'def': 9}",4.333333333333333,43.44444444444444,17,1,1.7817999999999998
9,2017-10-22 16:00:00,w,h,2.62043,4,0.667771,1,2.6531000000000002,3,2.62043,0.667771,"{'att': 388, 'def': 12}","{'att': 224, 'def': 24}",32.333333333333336,9.333333333333334,5,8,1.9526589999999997
10,2017-10-28 12:30:00,l,a,1.08708,0,0.943496,1,1.4831999999999999,0,1.08708,0.943496,"{'att': 175, 'def': 24}","{'att': 240, 'def': 23}",7.291666666666667,10.434782608695652,6,4,0.14358400000000004
11,2017-11-05 12:00:00,w,h,0.991813,1,1.10222,0,1.2478,3,0.991813,1.10222,"{'att': 126, 'def': 23}","{'att': 326, 'def': 17}",5.478260869565218,19.176470588235293,8,2,-0.11040700000000003
12,2017-11-18 12:30:00,l,a,0.591192,0,2.24246,2,0.32489999999999997,0,0.591192,2.24246,"{'att': 195, 'def': 22}","{'att': 278, 'def': 29}",8.863636363636363,9.586206896551724,9,11,-1.651268
