GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-12 12:30:00,d,h,2.17647,3,2.61549,3,1.0226,1,2.17647,1.85432,"{'att': 259, 'def': 23}","{'att': 206, 'def': 14}",11.26086956521739,14.714285714285714,2,10,0.32215000000000016
2,2017-08-19 15:00:00,w,a,2.17717,2,0.766694,0,2.3991,3,2.17717,0.766694,"{'att': 230, 'def': 25}","{'att': 165, 'def': 16}",9.2,10.3125,7,7,1.4104759999999998
3,2017-08-26 15:00:00,d,h,0.281459,0,0.952357,0,0.6756,1,0.281459,0.952357,"{'att': 258, 'def': 8}","{'att': 156, 'def': 22}",32.25,7.090909090909091,5,8,-0.670898
4,2017-09-09 15:00:00,w,a,0.57794,2,0.331259,0,1.5306,3,0.57794,0.331259,"{'att': 201, 'def': 21}","{'att': 192, 'def': 19}",9.571428571428571,10.105263157894736,3,6,0.24668099999999998
5,2017-09-16 15:00:00,l,h,0.803933,0,3.99349,6,0.0545,0,0.803933,3.23232,"{'att': 384, 'def': 13}","{'att': 188, 'def': 23}",29.53846153846154,8.173913043478262,1,16,-2.428387
6,2017-09-23 15:00:00,w,a,1.25817,2,1.50811,1,1.089,3,1.25817,1.50811,"{'att': 249, 'def': 26}","{'att': 259, 'def': 22}",9.576923076923077,11.772727272727273,3,5,-0.24994000000000005
7,2017-09-30 15:00:00,d,a,1.62462,2,1.93896,2,1.0928,1,1.62462,1.93896,"{'att': 165, 'def': 20}","{'att': 322, 'def': 20}",8.25,16.1,11,5,-0.31434000000000006
8,2017-10-14 17:30:00,w,h,1.63418,2,0.988468,1,1.9394999999999998,3,0.873011,0.988468,"{'att': 309, 'def': 19}","{'att': 264, 'def': 23}",16.263157894736842,11.478260869565217,4,8,-0.11545700000000003
9,2017-10-21 19:30:00,l,a,1.79693,2,1.78315,4,1.3739000000000001,0,1.79693,1.78315,"{'att': 268, 'def': 31}","{'att': 207, 'def': 22}",8.64516129032258,9.409090909090908,8,4,0.013779999999999903
10,2017-10-28 15:00:00,l,h,1.13448,0,0.778883,1,1.6319,0,1.13448,0.778883,"{'att': 114, 'def': 18}","{'att': 295, 'def': 9}",6.333333333333333,32.77777777777778,13,4,0.35559699999999994
11,2017-11-05 16:30:00,l,a,2.05534,2,2.5796,3,0.9804999999999999,0,1.29417,1.81843,"{'att': 120, 'def': 13}","{'att': 211, 'def': 29}",9.23076923076923,7.275862068965517,6,7,-0.52426
12,2017-11-19 16:00:00,w,h,1.24547,2,1.43369,0,1.1397,3,1.24547,1.43369,"{'att': 238, 'def': 25}","{'att': 289, 'def': 19}",9.52,15.210526315789474,12,3,-0.18821999999999983
13,2017-11-25 15:00:00,w,a,2.05844,3,0.86002,0,2.2603,3,2.05844,0.86002,"{'att': 254, 'def': 28}","{'att': 237, 'def': 25}",9.071428571428571,9.48,7,10,1.19842
14,2017-11-28 20:00:00,l,h,1.29277,2,1.63491,4,1.0968,0,0.5316,1.63491,"{'att': 196, 'def': 22}","{'att': 262, 'def': 16}",8.909090909090908,16.375,4,5,-1.10331
15,2017-12-02 15:00:00,d,h,0.352672,1,0.788817,1,0.7602,1,0.352672,0.788817,"{'att': 235, 'def': 23}","{'att': 208, 'def': 21}",10.217391304347826,9.904761904761905,6,3,-0.436145
16,2017-12-09 15:00:00,l,a,0.819233,0,0.485632,1,1.6745,0,0.819233,0.485632,"{'att': 161, 'def': 14}","{'att': 177, 'def': 16}",11.5,11.0625,7,6,0.333601
17,2017-12-12 20:00:00,l,a,1.40441,1,1.10545,2,1.5967,0,1.40441,1.10545,"{'att': 225, 'def': 21}","{'att': 167, 'def': 19}",10.714285714285714,8.789473684210526,1,3,0.2989599999999999
18,2017-12-16 15:00:00,l,h,0.589103,1,3.49193,4,0.058499999999999996,0,0.589103,2.73076,"{'att': 152, 'def': 18}","{'att': 261, 'def': 33}",8.444444444444445,7.909090909090909,7,4,-2.141657
19,2017-12-23 15:00:00,l,a,1.30044,0,1.40139,1,1.2835999999999999,0,1.30044,1.40139,"{'att': 226, 'def': 21}","{'att': 183, 'def': 16}",10.761904761904763,11.4375,4,3,-0.10094999999999987
20,2017-12-26 15:00:00,w,h,1.43009,2,1.54771,1,1.2358,3,1.43009,1.54771,"{'att': 189, 'def': 32}","{'att': 140, 'def': 19}",5.90625,7.368421052631579,6,4,-0.11761999999999984
21,2017-12-30 15:00:00,l,h,1.17794,1,1.31479,2,1.2101,0,1.17794,1.31479,"{'att': 334, 'def': 27}","{'att': 292, 'def': 28}",12.37037037037037,10.428571428571429,5,4,-0.13684999999999992
22,2018-01-02 20:00:00,l,a,0.965283,1,2.77398,3,0.2963,0,0.965283,2.77398,"{'att': 536, 'def': 21}","{'att': 142, 'def': 26}",25.523809523809526,5.461538461538462,2,14,-1.808697
23,2018-01-13 15:00:00,d,h,1.67369,2,0.857637,2,2.0095,1,1.67369,0.857637,"{'att': 178, 'def': 24}","{'att': 210, 'def': 19}",7.416666666666667,11.052631578947368,13,6,0.8160529999999999
24,2018-01-20 15:00:00,l,a,0.740795,0,1.51932,2,0.6549,0,0.740795,0.758155,"{'att': 235, 'def': 21}","{'att': 192, 'def': 22}",11.19047619047619,8.727272727272727,4,6,-0.017360000000000042
25,2018-01-31 20:00:00,d,a,0.740773,0,0.722172,0,1.3363,1,0.740773,0.722172,"{'att': 121, 'def': 18}","{'att': 111, 'def': 16}",6.722222222222222,6.9375,6,5,0.01860099999999998
26,2018-02-05 20:00:00,w,h,2.12696,4,0.573557,1,2.5432,3,1.36579,0.573557,"{'att': 312, 'def': 32}","{'att': 218, 'def': 19}",9.75,11.473684210526315,13,5,0.7922330000000001
27,2018-02-10 15:00:00,l,a,0.799928,0,1.83359,2,0.5711999999999999,0,0.799928,1.83359,"{'att': 102, 'def': 19}","{'att': 208, 'def': 23}",5.368421052631579,9.043478260869565,9,2,-1.033662
28,2018-02-24 17:30:00,w,h,0.606929,1,0.665127,0,1.1953,3,0.606929,0.665127,"{'att': 170, 'def': 31}","{'att': 199, 'def': 28}",5.483870967741935,7.107142857142857,4,4,-0.05819799999999997
29,2018-03-03 15:00:00,w,h,1.23526,1,1.09115,0,1.4497,3,1.23526,1.09115,"{'att': 166, 'def': 20}","{'att': 193, 'def': 34}",8.3,5.676470588235294,4,3,0.14410999999999996
30,2018-03-11 13:30:00,l,a,1.54676,0,2.38263,3,0.7555999999999999,0,0.785587,2.38263,"{'att': 284, 'def': 17}","{'att': 151, 'def': 20}",16.705882352941178,7.55,7,8,-1.5970429999999998
31,2018-03-17 17:30:00,l,a,0.35476,0,1.81208,5,0.3206,0,0.35476,1.81208,"{'att': 371, 'def': 19}","{'att': 224, 'def': 19}",19.526315789473685,11.789473684210526,2,14,-1.45732
32,2018-03-31 15:00:00,d,h,0.76133,2,2.1146,2,0.4241,1,0.76133,1.35343,"{'att': 243, 'def': 34}","{'att': 176, 'def': 10}",7.147058823529412,17.6,15,7,-0.5921
33,2018-04-07 14:00:00,l,h,1.36685,1,1.38319,2,1.3159,0,1.36685,1.38319,"{'att': 131, 'def': 23}","{'att': 200, 'def': 28}",5.695652173913044,7.142857142857143,10,1,-0.01634000000000002
34,2018-04-14 14:00:00,l,a,0.306273,0,0.929512,1,0.6414,0,0.306273,0.929512,"{'att': 145, 'def': 16}","{'att': 204, 'def': 25}",9.0625,8.16,7,7,-0.623239
35,2018-04-21 14:00:00,d,h,0.59455,0,0.182325,0,1.7199,1,0.59455,0.182325,"{'att': 174, 'def': 44}","{'att': 156, 'def': 18}",3.9545454545454546,8.666666666666666,2,6,0.41222500000000006
36,2018-04-30 19:00:00,l,a,1.36928,0,1.76757,2,1.0616,0,1.36928,1.76757,"{'att': 329, 'def': 22}","{'att': 176, 'def': 31}",14.954545454545455,5.67741935483871,5,13,-0.39829000000000003
37,2018-05-05 15:00:00,w,h,2.81246,2,0.613901,1,2.807,3,1.89999,0.613901,"{'att': 318, 'def': 18}","{'att': 215, 'def': 14}",17.666666666666668,15.357142857142858,2,6,1.286089
38,2018-05-13 15:00:00,l,a,0.654288,0,0.45805,1,1.4852,0,0.654288,0.45805,"{'att': 250, 'def': 27}","{'att': 262, 'def': 14}",9.25925925925926,18.714285714285715,5,5,0.19623799999999997
