GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2017-08-13 16:00:00,l,a,0.62654,0,2.63853,4,0.2288,0,0.62654,2.63853,"{'att': 267, 'def': 20}","{'att': 234, 'def': 25}",13.35,9.36,9,10,-2.01199
2,2017-08-19 15:00:00,l,a,1.53269,2,2.1424,3,0.8806,0,1.53269,0.620063,"{'att': 305, 'def': 13}","{'att': 131, 'def': 27}",23.46153846153846,4.851851851851852,1,14,0.9126270000000001
3,2017-08-26 15:00:00,l,a,0.558484,0,2.76107,3,0.1361,0,0.558484,2.76107,"{'att': 97, 'def': 17}","{'att': 295, 'def': 26}",5.705882352941177,11.346153846153847,0,7,-2.202586
4,2017-09-11 20:00:00,w,h,1.94969,2,0.339338,0,2.7121000000000004,3,1.94969,0.339338,"{'att': 246, 'def': 27}","{'att': 145, 'def': 19}",9.11111111111111,7.631578947368421,3,1,1.610352
5,2017-09-16 15:00:00,d,a,0.266344,0,0.781891,0,0.7394000000000001,1,0.266344,0.781891,"{'att': 152, 'def': 18}","{'att': 323, 'def': 12}",8.444444444444445,26.916666666666668,0,0,-0.515547
6,2017-09-23 12:30:00,l,h,0.67667,2,1.45327,3,0.6903,0,0.67667,1.45327,"{'att': 219, 'def': 35}","{'att': 178, 'def': 26}",6.257142857142857,6.846153846153846,2,3,-0.7766000000000001
7,2017-09-30 15:00:00,w,h,0.692185,1,0.178568,0,1.8496,3,0.692185,0.178568,"{'att': 309, 'def': 27}","{'att': 200, 'def': 24}",11.444444444444445,8.333333333333334,0,0,0.513617
8,2017-10-14 15:00:00,d,a,0.835192,1,0.70219,1,1.489,1,0.835192,0.70219,"{'att': 224, 'def': 17}","{'att': 120, 'def': 18}",13.176470588235293,6.666666666666667,4,11,0.13300200000000006
9,2017-10-20 20:00:00,l,h,0.569111,0,1.98345,3,0.34099999999999997,0,0.569111,1.22228,"{'att': 197, 'def': 16}","{'att': 329, 'def': 17}",12.3125,19.352941176470587,5,2,-0.653169
10,2017-10-28 15:00:00,d,a,0.742845,2,2.91672,2,0.148,1,0.742845,2.15555,"{'att': 224, 'def': 21}","{'att': 169, 'def': 30}",10.666666666666666,5.633333333333334,5,11,-1.4127049999999999
11,2017-11-04 17:30:00,l,h,1.13045,1,2.8773,4,0.3473,0,1.13045,2.8773,"{'att': 293, 'def': 18}","{'att': 249, 'def': 29}",16.27777777777778,8.586206896551724,2,8,-1.74685
12,2017-11-19 16:00:00,l,a,1.43369,0,1.24547,2,1.5750000000000002,0,1.43369,1.24547,"{'att': 289, 'def': 19}","{'att': 238, 'def': 25}",15.210526315789474,9.52,3,12,0.18821999999999983
13,2017-11-24 20:00:00,d,h,0.775297,1,0.453851,1,1.6274,1,0.775297,0.453851,"{'att': 254, 'def': 22}","{'att': 169, 'def': 23}",11.545454545454545,7.3478260869565215,4,1,0.321446
14,2017-11-29 20:00:00,l,a,1.03658,0,1.76497,4,0.6482,0,0.275413,0.90791,"{'att': 248, 'def': 15}","{'att': 284, 'def': 31}",16.533333333333335,9.161290322580646,10,5,-0.632497
15,2017-12-03 16:00:00,l,a,0.474483,1,2.45603,2,0.1734,0,0.474483,2.45603,"{'att': 293, 'def': 10}","{'att': 117, 'def': 25}",29.3,4.68,1,23,-1.9815470000000002
16,2017-12-09 12:30:00,w,h,0.418127,1,1.18891,0,0.6688000000000001,3,0.418127,1.18891,"{'att': 330, 'def': 23}","{'att': 144, 'def': 38}",14.347826086956522,3.789473684210526,3,9,-0.7707829999999999
17,2017-12-13 20:00:00,d,h,0.405172,0,1.02186,0,0.7889999999999999,1,0.405172,1.02186,"{'att': 284, 'def': 21}","{'att': 143, 'def': 27}",13.523809523809524,5.296296296296297,5,20,-0.616688
