GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2018-08-11 17:00:00,l,a,1.50693,0,2.60022,2,0.5473,0,1.50693,1.83905,"{'att': 269, 'def': 17}","{'att': 107, 'def': 19}",15.823529411764707,5.631578947368421,5,12,-0.33211999999999997
2,2018-08-18 14:30:00,d,h,1.15521,0,1.55405,0,1.0033,1,1.15521,0.79288,"{'att': 151, 'def': 30}","{'att': 107, 'def': 17}",5.033333333333333,6.294117647058823,3,3,0.36233000000000004
3,2018-08-25 17:00:00,d,a,1.06351,0,0.203453,0,2.1796999999999995,1,1.06351,0.203453,"{'att': 195, 'def': 23}","{'att': 106, 'def': 12}",8.478260869565217,8.833333333333334,5,1,0.860057
4,2018-09-02 12:30:00,l,h,0.77426,2,1.41005,3,0.8539000000000001,0,0.77426,1.41005,"{'att': 360, 'def': 22}","{'att': 81, 'def': 18}",16.363636363636363,4.5,5,15,-0.6357900000000001
5,2018-09-15 14:00:00,l,a,0.8276,1,2.67145,4,0.26249999999999996,0,0.8276,1.91028,"{'att': 404, 'def': 22}","{'att': 84, 'def': 21}",18.363636363636363,4.0,3,13,-1.0826799999999999
6,2018-09-22 14:00:00,l,h,0.0980726,0,3.08415,5,0.0439,0,0.0980726,3.08415,"{'att': 540, 'def': 8}","{'att': 107, 'def': 14}",67.5,7.642857142857143,2,18,-2.9860774
7,2018-09-30 15:00:00,l,h,1.56707,1,0.111527,2,2.5845000000000002,0,1.56707,0.111527,"{'att': 105, 'def': 17}","{'att': 90, 'def': 13}",6.176470588235294,6.923076923076923,14,6,1.455543
8,2018-10-06 14:00:00,l,a,1.13843,0,2.6517,1,0.4323,0,1.13843,2.6517,"{'att': 357, 'def': 20}","{'att': 72, 'def': 8}",17.85,9.0,2,17,-1.51327
9,2018-10-20 14:00:00,w,h,1.7562,4,0.947712,2,1.9465000000000001,3,1.7562,0.947712,"{'att': 260, 'def': 25}","{'att': 97, 'def': 23}",10.4,4.217391304347826,4,6,0.808488
10,2018-10-27 14:00:00,l,a,0.643117,1,2.30176,4,0.2206,0,0.643117,2.30176,"{'att': 496, 'def': 6}","{'att': 81, 'def': 12}",82.66666666666667,6.75,1,16,-1.6586429999999996
