GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2018-08-11 17:00:00,l,h,0.638076,0,1.07816,2,0.9254,0,0.638076,1.07816,"{'att': 195, 'def': 43}","{'att': 433, 'def': 19}",4.534883720930233,22.789473684210527,3,8,-0.44008400000000003
2,2018-08-18 17:00:00,l,a,1.44253,1,3.26713,3,0.3842,0,1.44253,3.26713,"{'att': 358, 'def': 4}","{'att': 285, 'def': 34}",89.5,8.382352941176471,4,20,-1.8245999999999998
3,2018-08-25 17:00:00,w,h,1.92459,4,1.56882,2,1.6022,3,1.92459,1.56882,"{'att': 164, 'def': 14}","{'att': 353, 'def': 19}",11.714285714285714,18.57894736842105,10,5,0.3557699999999999
4,2018-09-01 14:00:00,d,a,1.51555,2,2.68216,2,0.5899,1,1.51555,1.15982,"{'att': 191, 'def': 14}","{'att': 333, 'def': 29}",13.642857142857142,11.482758620689655,3,3,0.3557299999999999
5,2018-09-15 14:00:00,l,a,0.342698,0,4.91621,3,0.0048000000000000004,0,0.342698,4.91621,"{'att': 420, 'def': 11}","{'att': 228, 'def': 21}",38.18181818181818,10.857142857142858,3,22,-4.573512
6,2018-09-22 11:30:00,d,h,1.77245,1,1.76133,1,1.387,1,1.77245,1.76133,"{'att': 141, 'def': 17}","{'att': 302, 'def': 25}",8.294117647058824,12.08,4,5,0.011120000000000019
7,2018-09-29 14:00:00,l,a,0.536317,0,2.31538,3,0.2253,0,0.536317,1.55432,"{'att': 230, 'def': 23}","{'att': 216, 'def': 26}",10.0,8.307692307692308,6,7,-1.0180029999999998
8,2018-10-07 11:00:00,l,h,1.31588,1,1.13706,5,1.4962,0,1.31588,1.13706,"{'att': 311, 'def': 26}","{'att': 276, 'def': 18}",11.961538461538462,15.333333333333334,5,12,0.17881999999999998
9,2018-10-20 14:00:00,l,a,0.947712,2,1.7562,4,0.8002,0,0.947712,1.7562,"{'att': 97, 'def': 23}","{'att': 260, 'def': 25}",4.217391304347826,10.4,6,4,-0.808488
10,2018-10-27 14:00:00,l,h,0.383833,0,2.10555,3,0.1991,0,0.383833,1.34439,"{'att': 275, 'def': 17}","{'att': 318, 'def': 10}",16.176470588235293,31.8,1,12,-0.960557
11,2018-11-05 20:00:00,l,a,0.354166,0,0.51433,1,1.0717,0,0.354166,0.51433,"{'att': 153, 'def': 15}","{'att': 235, 'def': 49}",10.2,4.795918367346939,1,4,-0.16016399999999997
12,2018-11-11 12:00:00,l,a,0.571301,0,2.22417,2,0.314,0,0.571301,2.22417,"{'att': 450, 'def': 14}","{'att': 128, 'def': 28}",32.142857142857146,4.571428571428571,1,12,-1.652869
13,2018-11-24 15:00:00,w,h,1.3875,3,1.67163,2,1.1448,3,1.3875,1.67163,"{'att': 325, 'def': 17}","{'att': 177, 'def': 22}",19.11764705882353,8.045454545454545,8,8,-0.28413
14,2018-12-02 12:00:00,l,a,0.285256,0,2.17105,2,0.1954,0,0.285256,2.17105,"{'att': 467, 'def': 34}","{'att': 183, 'def': 30}",13.735294117647058,6.1,3,5,-1.8857940000000002
15,2018-12-05 19:45:00,d,h,1.47593,1,1.21575,1,1.5534,1,1.47593,1.21575,"{'att': 200, 'def': 16}","{'att': 106, 'def': 13}",12.5,8.153846153846153,7,2,0.26017999999999986
16,2018-12-08 15:00:00,l,a,1.23251,1,3.15444,4,0.30100000000000005,0,0.471345,3.15444,"{'att': 375, 'def': 23}","{'att': 182, 'def': 29}",16.304347826086957,6.275862068965517,5,10,-2.6830950000000002
17,2018-12-15 17:30:00,l,h,1.03424,0,0.75325,2,1.5908,0,1.03424,0.75325,"{'att': 187, 'def': 23}","{'att': 260, 'def': 22}",8.130434782608695,11.818181818181818,4,7,0.2809900000000001
18,2018-12-22 15:00:00,d,a,0.245408,0,0.289508,0,1.1420000000000001,1,0.245408,0.289508,"{'att': 282, 'def': 16}","{'att': 284, 'def': 32}",17.625,8.875,5,7,-0.0441
19,2018-12-26 12:30:00,d,h,1.2769,1,1.35896,1,1.2334,1,1.2769,1.35896,"{'att': 432, 'def': 20}","{'att': 150, 'def': 19}",21.6,7.894736842105263,4,2,-0.08206000000000002
20,2018-12-29 15:00:00,w,h,1.72386,1,0.276791,0,2.5821,3,0.962693,0.276791,"{'att': 348, 'def': 19}","{'att': 193, 'def': 12}",18.31578947368421,16.083333333333332,5,5,0.685902
21,2019-01-01 15:00:00,l,a,1.71312,1,4.43325,4,0.1849,0,1.71312,4.43325,"{'att': 301, 'def': 24}","{'att': 215, 'def': 20}",12.541666666666666,10.75,5,21,-2.72013
22,2019-01-12 15:00:00,l,a,0.903255,1,0.809801,2,1.3947,0,0.903255,0.809801,"{'att': 202, 'def': 19}","{'att': 332, 'def': 25}",10.631578947368421,13.28,2,3,0.09345400000000004
23,2019-01-20 16:00:00,l,h,0.937902,1,1.93316,2,0.6322,0,0.937902,1.93316,"{'att': 357, 'def': 17}","{'att': 122, 'def': 20}",21.0,6.1,5,13,-0.995258
24,2019-01-29 19:45:00,w,h,3.46113,4,2.36867,2,2.0802,3,3.46113,2.36867,"{'att': 187, 'def': 19}","{'att': 368, 'def': 22}",9.842105263157896,16.727272727272727,6,5,1.09246
25,2019-02-02 15:00:00,l,a,0.560836,0,2.19582,2,0.2359,0,0.560836,1.43465,"{'att': 164, 'def': 14}","{'att': 384, 'def': 27}",11.714285714285714,14.222222222222221,2,7,-0.873814
26,2019-02-09 12:30:00,l,h,2.18741,0,2.13209,3,1.4257000000000002,0,2.18741,1.37093,"{'att': 226, 'def': 29}","{'att': 262, 'def': 18}",7.793103448275862,14.555555555555555,4,17,0.8164799999999999
27,2019-02-22 19:45:00,l,a,1.23555,1,2.72871,3,0.3863,0,1.23555,2.72871,"{'att': 287, 'def': 22}","{'att': 289, 'def': 41}",13.045454545454545,7.048780487804878,4,18,-1.49316
28,2019-02-27 19:45:00,l,a,0.798715,0,1.15823,2,1.0253,0,0.798715,1.15823,"{'att': 170, 'def': 15}","{'att': 339, 'def': 30}",11.333333333333334,11.3,4,6,-0.35951500000000014
29,2019-03-03 14:05:00,l,h,0.898469,1,1.53632,2,0.8891,0,0.898469,1.53632,"{'att': 428, 'def': 21}","{'att': 233, 'def': 23}",20.38095238095238,10.130434782608695,4,13,-0.637851
30,2019-03-09 15:00:00,l,a,0.15103,1,2.13494,3,0.1229,0,0.15103,2.13494,"{'att': 292, 'def': 21}","{'att': 301, 'def': 28}",13.904761904761905,10.75,2,8,-1.9839099999999998
31,2019-03-17 14:15:00,l,h,0.915765,1,2.73437,2,0.22799999999999998,0,0.915765,1.97321,"{'att': 281, 'def': 13}","{'att': 197, 'def': 25}",21.615384615384617,7.88,4,14,-1.057445
32,2019-03-30 12:30:00,l,h,0.661491,0,2.31513,2,0.3311,0,0.661491,2.31513,"{'att': 374, 'def': 11}","{'att': 221, 'def': 26}",34.0,8.5,3,14,-1.6536389999999999
33,2019-04-02 19:45:00,l,a,1.90917,1,1.59338,4,1.6197,0,1.90917,1.59338,"{'att': 250, 'def': 20}","{'att': 346, 'def': 28}",12.5,12.357142857142858,6,4,0.31579
34,2019-04-13 15:00:00,w,h,1.66303,2,1.29107,0,1.6414,3,1.66303,1.29107,"{'att': 268, 'def': 21}","{'att': 194, 'def': 36}",12.761904761904763,5.388888888888889,6,7,0.37196000000000007
35,2019-04-20 15:00:00,w,a,2.61689,1,2.83739,0,1.2422,3,1.85572,2.83739,"{'att': 273, 'def': 21}","{'att': 260, 'def': 20}",13.0,13.0,6,8,-0.98167
36,2019-04-27 15:00:00,w,h,0.519072,1,1.11322,0,0.7830999999999999,3,0.519072,1.11322,"{'att': 93, 'def': 24}","{'att': 432, 'def': 28}",3.875,15.428571428571429,6,3,-0.5941480000000001
37,2019-05-04 14:00:00,l,a,0.512477,0,2.09397,1,0.2953,0,0.512477,2.09397,"{'att': 184, 'def': 22}","{'att': 438, 'def': 24}",8.363636363636363,18.25,2,7,-1.581493
38,2019-05-12 14:00:00,l,h,0.569845,0,1.95921,4,0.3435,0,0.569845,1.95921,"{'att': 240, 'def': 18}","{'att': 485, 'def': 17}",13.333333333333334,28.529411764705884,12,7,-1.3893649999999997
