GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2018-08-11 17:00:00,l,h,0.396115,0,2.31427,3,0.1653,0,0.396115,1.5531,"{'att': 381, 'def': 33}","{'att': 190, 'def': 15}",11.545454545454545,12.666666666666666,2,4,-1.156985
2,2018-08-19 15:30:00,l,a,0.663731,1,4.60356,6,0.0258,0,0.663731,4.60356,"{'att': 317, 'def': 9}","{'att': 101, 'def': 11}",35.22222222222222,9.181818181818182,4,17,-3.939829
3,2018-08-25 17:00:00,d,h,0.203453,0,1.06351,0,0.5018,1,0.203453,1.06351,"{'att': 106, 'def': 12}","{'att': 195, 'def': 23}",8.833333333333334,8.478260869565217,1,5,-0.860057
4,2018-09-01 14:00:00,d,a,0.660035,1,0.616013,1,1.3716,1,0.660035,0.616013,"{'att': 271, 'def': 29}","{'att': 179, 'def': 21}",9.344827586206897,8.523809523809524,1,2,0.044022000000000006
5,2018-09-15 14:00:00,l,h,0.87744,0,0.746631,1,1.4471999999999998,0,0.87744,0.746631,"{'att': 225, 'def': 19}","{'att': 271, 'def': 17}",11.842105263157896,15.941176470588236,5,2,0.13080899999999995
6,2018-09-22 14:00:00,l,a,0.688176,1,1.80404,3,0.5392,0,0.688176,1.80404,"{'att': 336, 'def': 19}","{'att': 181, 'def': 26}",17.68421052631579,6.961538461538462,2,2,-1.1158640000000002
7,2018-09-29 14:00:00,l,h,0.339245,0,2.33733,2,0.1381,0,0.339245,1.57616,"{'att': 215, 'def': 35}","{'att': 214, 'def': 15}",6.142857142857143,14.266666666666667,3,1,-1.236915
8,2018-10-06 14:00:00,d,a,1.02549,1,0.353128,1,1.9813,1,1.02549,0.353128,"{'att': 109, 'def': 17}","{'att': 332, 'def': 23}",6.411764705882353,14.434782608695652,1,1,0.672362
9,2018-10-20 16:30:00,l,h,0.638341,0,0.663819,1,1.259,0,0.638341,0.663819,"{'att': 330, 'def': 24}","{'att': 341, 'def': 18}",13.75,18.944444444444443,0,10,-0.025478
10,2018-10-27 14:00:00,l,a,0.479655,0,2.29622,3,0.2333,0,0.479655,2.29622,"{'att': 242, 'def': 30}","{'att': 295, 'def': 25}",8.066666666666666,11.8,6,6,-1.816565
11,2018-11-05 20:00:00,w,h,0.51433,1,0.354166,0,1.438,3,0.51433,0.354166,"{'att': 235, 'def': 49}","{'att': 153, 'def': 15}",4.795918367346939,10.2,4,1,0.16016399999999997
12,2018-11-10 15:00:00,d,h,1.17524,1,1.44113,1,1.1023,1,1.17524,1.44113,"{'att': 263, 'def': 26}","{'att': 147, 'def': 17}",10.115384615384615,8.647058823529411,4,5,-0.26588999999999996
13,2018-11-25 16:00:00,w,a,0.627281,2,0.701036,0,1.2535,3,0.627281,0.701036,"{'att': 241, 'def': 29}","{'att': 302, 'def': 20}",8.310344827586206,15.1,5,5,-0.07375500000000001
14,2018-12-01 15:00:00,l,h,0.558083,1,1.67998,2,0.46420000000000006,0,0.558083,1.67998,"{'att': 334, 'def': 20}","{'att': 104, 'def': 14}",16.7,7.428571428571429,0,6,-1.1218970000000001
15,2018-12-04 19:45:00,l,a,1.5631,1,1.07393,2,1.7043,0,1.5631,1.07393,"{'att': 148, 'def': 30}","{'att': 273, 'def': 16}",4.933333333333334,17.0625,9,3,0.4891699999999999
16,2018-12-08 15:00:00,l,a,0.308361,0,2.02156,1,0.22870000000000001,0,0.308361,2.02156,"{'att': 308, 'def': 29}","{'att': 134, 'def': 24}",10.620689655172415,5.583333333333333,2,8,-1.713199
17,2018-12-15 15:00:00,l,h,0.671382,0,0.931041,1,1.0309,0,0.671382,0.931041,"{'att': 101, 'def': 24}","{'att': 300, 'def': 16}",4.208333333333333,18.75,7,3,-0.259659
18,2018-12-22 15:00:00,l,h,1.0038,1,2.60172,3,0.3667,0,1.0038,1.84055,"{'att': 139, 'def': 33}","{'att': 287, 'def': 19}",4.212121212121212,15.105263157894736,8,6,-0.8367499999999999
19,2018-12-26 15:00:00,l,a,1.40594,1,1.79848,3,1.0529,0,1.40594,1.79848,"{'att': 334, 'def': 23}","{'att': 167, 'def': 24}",14.521739130434783,6.958333333333333,5,9,-0.3925400000000001
20,2018-12-29 15:00:00,l,a,0.276791,0,1.72386,1,0.2655,0,0.276791,0.962693,"{'att': 193, 'def': 12}","{'att': 348, 'def': 19}",16.083333333333332,18.31578947368421,5,5,-0.685902
21,2019-01-02 19:45:00,l,h,0.621818,1,2.66309,2,0.2141,0,0.621818,2.66309,"{'att': 247, 'def': 13}","{'att': 159, 'def': 23}",19.0,6.913043478260869,1,7,-2.041272
22,2019-01-12 15:00:00,d,a,0.39468,0,0.124558,0,1.5311,1,0.39468,0.124558,"{'att': 105, 'def': 21}","{'att': 182, 'def': 26}",5.0,7.0,7,0,0.270122
23,2019-01-20 13:30:00,l,h,0.764264,0,2.01376,3,0.4454,0,0.764264,2.01376,"{'att': 382, 'def': 18}","{'att': 167, 'def': 18}",21.22222222222222,9.277777777777779,1,13,-1.249496
24,2019-01-29 19:45:00,l,h,0.73078,0,1.05995,1,0.9824,0,0.73078,1.05995,"{'att': 206, 'def': 21}","{'att': 281, 'def': 28}",9.80952380952381,10.035714285714286,2,3,-0.32916999999999996
25,2019-02-02 15:00:00,l,a,0.260391,0,2.94236,5,0.0648,0,0.260391,2.18119,"{'att': 410, 'def': 19}","{'att': 251, 'def': 33}",21.57894736842105,7.606060606060606,1,19,-1.920799
26,2019-02-09 15:00:00,l,h,1.96816,1,1.46751,2,1.7684000000000002,0,1.96816,1.46751,"{'att': 238, 'def': 55}","{'att': 219, 'def': 22}",4.327272727272727,9.954545454545455,6,10,0.5006499999999998
