GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-10 17:30:00,l,a,0.639599,1,2.57262,3,0.2794,0,0.639599,2.57262,"{'att': 255, 'def': 19}","{'att': 147, 'def': 28}",13.421052631578947,5.25,2,15,-1.933021
2,2019-08-17 15:00:00,l,h,1.65069,1,1.62777,2,1.3698,0,1.65069,0.866605,"{'att': 117, 'def': 9}","{'att': 268, 'def': 25}",13.0,10.72,12,9,0.784085
3,2019-08-23 20:00:00,w,h,0.855926,2,1.25668,0,0.9697,3,0.855926,1.25668,"{'att': 265, 'def': 20}","{'att': 146, 'def': 27}",13.25,5.407407407407407,6,12,-0.40075400000000005
4,2019-08-31 15:00:00,l,a,0.30354,0,1.41394,1,0.4799,0,0.30354,1.41394,"{'att': 226, 'def': 25}","{'att': 216, 'def': 24}",9.04,9.0,5,13,-1.1104
5,2019-09-16 19:00:00,d,h,1.40502,0,0.535279,0,2.1614999999999998,1,1.40502,0.535279,"{'att': 213, 'def': 22}","{'att': 222, 'def': 22}",9.681818181818182,10.090909090909092,4,9,0.869741
6,2019-09-22 15:30:00,l,a,1.71546,2,2.53209,3,0.8444,0,1.71546,1.77093,"{'att': 242, 'def': 22}","{'att': 182, 'def': 20}",11.0,9.1,8,12,-0.05546999999999991
7,2019-09-28 14:00:00,d,h,0.914266,2,1.66919,2,0.7663,1,0.914266,1.66919,"{'att': 121, 'def': 20}","{'att': 199, 'def': 22}",6.05,9.045454545454545,3,2,-0.7549239999999999
8,2019-10-05 15:00:00,w,a,3.67827,5,1.84838,1,2.472,3,2.76412,1.84838,"{'att': 220, 'def': 25}","{'att': 145, 'def': 24}",8.8,6.041666666666667,9,13,0.9157400000000002
9,2019-10-19 15:00:00,w,h,2.96692,2,1.32184,1,2.4098,3,2.96692,1.32184,"{'att': 271, 'def': 18}","{'att': 200, 'def': 21}",15.055555555555555,9.523809523809524,7,10,1.64508
10,2019-10-26 12:30:00,l,a,0.980145,0,3.19004,3,0.2449,0,0.980145,3.19004,"{'att': 267, 'def': 10}","{'att': 194, 'def': 24}",26.7,8.083333333333334,3,18,-2.2098950000000004
11,2019-11-02 15:00:00,l,h,0.741615,1,2.38824,2,0.3756,0,0.741615,2.38824,"{'att': 293, 'def': 14}","{'att': 88, 'def': 20}",20.928571428571427,4.4,2,16,-1.6466250000000002
12,2019-11-10 14:00:00,l,a,0.473225,1,2.09891,2,0.31610000000000005,0,0.473225,2.09891,"{'att': 189, 'def': 30}","{'att': 211, 'def': 32}",6.3,6.59375,0,8,-1.625685
