GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-10 15:00:00,d,h,1.34099,1,1.59864,1,1.0171999999999999,1,1.34099,1.59864,"{'att': 204, 'def': 15}","{'att': 274, 'def': 30}",13.6,9.133333333333333,4,6,-0.25765000000000016
2,2019-08-17 15:00:00,w,a,1.62777,2,1.65069,1,1.3578,3,0.866605,1.65069,"{'att': 268, 'def': 25}","{'att': 117, 'def': 9}",10.72,13.0,9,12,-0.784085
3,2019-08-25 14:00:00,l,h,1.89345,1,3.12856,3,0.6611,0,1.89345,3.12856,"{'att': 458, 'def': 20}","{'att': 119, 'def': 23}",22.9,5.173913043478261,3,17,-1.2351099999999997
4,2019-08-31 15:00:00,l,a,0.554726,1,2.23766,3,0.2616,0,0.554726,2.23766,"{'att': 320, 'def': 32}","{'att': 242, 'def': 35}",10.0,6.914285714285715,7,10,-1.682934
5,2019-09-15 13:00:00,w,h,1.41542,3,1.50641,1,1.2948,3,1.41542,1.50641,"{'att': 266, 'def': 22}","{'att': 171, 'def': 31}",12.090909090909092,5.516129032258065,3,9,-0.09099000000000013
6,2019-09-20 19:00:00,w,a,1.29773,3,2.18021,1,0.7326999999999999,3,1.29773,1.41904,"{'att': 287, 'def': 16}","{'att': 143, 'def': 35}",17.9375,4.085714285714285,2,6,-0.12131000000000003
7,2019-09-28 14:00:00,d,h,2.31957,2,1.29546,2,2.0753,1,2.31957,1.29546,"{'att': 225, 'def': 20}","{'att': 262, 'def': 20}",11.25,13.1,8,17,1.02411
8,2019-10-06 14:00:00,l,a,0.683967,0,1.24109,1,0.8124,0,0.683967,1.24109,"{'att': 235, 'def': 23}","{'att': 246, 'def': 35}",10.217391304347826,7.0285714285714285,7,10,-0.557123
9,2019-10-19 15:00:00,d,h,0.675554,0,0.402873,0,1.5813000000000001,1,0.675554,0.402873,"{'att': 254, 'def': 20}","{'att': 213, 'def': 18}",12.7,11.833333333333334,7,5,0.272681
10,2019-10-26 15:00:00,d,a,0.899526,0,0.674903,0,1.4985,1,0.899526,0.674903,"{'att': 178, 'def': 19}","{'att': 342, 'def': 26}",9.368421052631579,13.153846153846153,3,5,0.22462300000000002
11,2019-11-02 12:30:00,w,h,1.86862,1,0.641129,0,2.382,3,1.86862,0.641129,"{'att': 223, 'def': 27}","{'att': 170, 'def': 20}",8.25925925925926,8.5,3,4,1.227491
12,2019-11-09 15:00:00,l,a,1.9213,1,2.3306,2,1.0846,0,1.9213,2.3306,"{'att': 133, 'def': 17}","{'att': 321, 'def': 17}",7.823529411764706,18.88235294117647,10,5,-0.4093
13,2019-11-23 15:00:00,l,h,0.849789,1,1.2765,2,0.9449000000000001,0,0.849789,1.2765,"{'att': 323, 'def': 23}","{'att': 274, 'def': 20}",14.043478260869565,13.7,3,7,-0.42671099999999995
14,2019-11-30 15:00:00,l,a,1.02949,2,2.93189,3,0.3314,0,1.02949,2.93189,"{'att': 274, 'def': 32}","{'att': 240, 'def': 27}",8.5625,8.88888888888889,6,9,-1.9024
15,2019-12-03 19:30:00,l,a,0.342799,0,0.383763,1,1.186,0,0.342799,0.383763,"{'att': 118, 'def': 21}","{'att': 305, 'def': 15}",5.619047619047619,20.333333333333332,10,6,-0.040964
16,2019-12-07 15:00:00,l,h,0.154608,0,3.04446,3,0.0506,0,0.154608,3.04446,"{'att': 527, 'def': 12}","{'att': 159, 'def': 17}",43.916666666666664,9.352941176470589,2,19,-2.889852
17,2019-12-14 15:00:00,w,a,1.20777,1,2.02119,0,0.8432,3,1.20777,2.02119,"{'att': 327, 'def': 19}","{'att': 136, 'def': 30}",17.210526315789473,4.533333333333333,3,6,-0.8134199999999998
18,2019-12-21 15:00:00,l,h,0.138532,0,0.144318,1,1.1115,0,0.138532,0.144318,"{'att': 100, 'def': 18}","{'att': 235, 'def': 28}",5.555555555555555,8.392857142857142,6,0,-0.005786000000000013
19,2019-12-26 15:00:00,d,h,1.55463,1,1.42464,1,1.4987000000000001,1,1.55463,1.42464,"{'att': 357, 'def': 15}","{'att': 199, 'def': 26}",23.8,7.653846153846154,9,13,0.12999000000000005
20,2019-12-28 12:30:00,l,a,0.500726,0,1.05876,2,0.8031999999999999,0,0.500726,1.05876,"{'att': 274, 'def': 16}","{'att': 225, 'def': 24}",17.125,9.375,5,11,-0.5580339999999999
21,2020-01-01 17:30:00,l,a,0.720709,0,2.32825,4,0.27480000000000004,0,0.720709,1.56708,"{'att': 239, 'def': 15}","{'att': 428, 'def': 19}",15.933333333333334,22.526315789473685,4,8,-0.846371
22,2020-01-12 14:00:00,l,h,0.320447,0,2.29827,3,0.1713,0,0.320447,2.29827,"{'att': 196, 'def': 15}","{'att': 286, 'def': 25}",13.066666666666666,11.44,5,7,-1.977823
23,2020-01-18 15:00:00,l,a,0.558298,0,1.76046,1,0.4197,0,0.558298,0.999292,"{'att': 330, 'def': 24}","{'att': 166, 'def': 17}",13.75,9.764705882352942,4,6,-0.440994
24,2020-01-21 19:30:00,w,h,1.92315,3,1.97227,1,1.3207,3,1.92315,1.97227,"{'att': 345, 'def': 31}","{'att': 135, 'def': 21}",11.129032258064516,6.428571428571429,6,4,-0.04912000000000005
25,2020-02-01 15:00:00,w,h,2.72236,2,1.40955,1,2.2741,3,2.72236,1.40955,"{'att': 220, 'def': 22}","{'att': 107, 'def': 14}",10.0,7.642857142857143,8,7,1.31281
26,2020-02-09 14:00:00,l,a,1.07183,1,2.04467,2,0.6331,0,1.07183,2.04467,"{'att': 203, 'def': 20}","{'att': 178, 'def': 19}",10.15,9.368421052631579,8,10,-0.9728399999999999
27,2020-02-22 15:00:00,l,a,1.75718,0,3.09935,3,0.5741,0,1.75718,2.33818,"{'att': 125, 'def': 11}","{'att': 230, 'def': 21}",11.363636363636363,10.952380952380953,5,5,-0.581
28,2020-02-29 15:00:00,d,h,1.58495,2,1.98271,2,1.0560999999999998,1,1.58495,1.98271,"{'att': 448, 'def': 26}","{'att': 142, 'def': 26}",17.23076923076923,5.461538461538462,4,14,-0.3977599999999999
29,2020-03-07 12:30:00,l,a,1.29544,1,1.89453,2,0.8778,0,1.29544,1.89453,"{'att': 345, 'def': 17}","{'att': 95, 'def': 20}",20.294117647058822,4.75,3,9,-0.5990900000000001
30,2020-06-20 18:45:00,l,h,0.363637,0,0.788453,2,0.8336,0,0.363637,0.788453,"{'att': 162, 'def': 18}","{'att': 235, 'def': 24}",9.0,9.791666666666666,6,4,-0.42481599999999997
31,2020-06-24 17:00:00,l,a,0.0619009,0,0.715002,1,0.5594,0,0.0619009,0.715002,"{'att': 264, 'def': 18}","{'att': 193, 'def': 16}",14.666666666666666,12.0625,1,1,-0.6531011
32,2020-07-01 17:00:00,l,h,1.27503,1,2.23457,4,0.6983,0,1.27503,2.23457,"{'att': 239, 'def': 23}","{'att': 304, 'def': 17}",10.391304347826088,17.88235294117647,10,9,-0.9595400000000001
33,2020-07-04 14:00:00,l,a,1.52161,2,2.63259,5,0.6491,0,0.760443,1.87142,"{'att': 344, 'def': 15}","{'att': 135, 'def': 15}",22.933333333333334,9.0,1,15,-1.110977
34,2020-07-09 17:00:00,d,h,0.960349,0,0.479274,0,1.8205,1,0.960349,0.479274,"{'att': 258, 'def': 21}","{'att': 123, 'def': 19}",12.285714285714286,6.473684210526316,6,5,0.48107500000000003
35,2020-07-12 18:00:00,w,h,2.54311,4,1.66084,1,2.0753,3,1.78195,1.66084,"{'att': 314, 'def': 17}","{'att': 215, 'def': 23}",18.470588235294116,9.347826086956522,3,14,0.12110999999999983
36,2020-07-15 17:00:00,l,a,1.66635,1,0.82755,2,2.048,0,1.66635,0.82755,"{'att': 445, 'def': 16}","{'att': 98, 'def': 20}",27.8125,4.9,11,8,0.8388
37,2020-07-19 13:00:00,l,h,0.583117,0,2.24527,2,0.2875,0,0.583117,1.48411,"{'att': 173, 'def': 27}","{'att': 117, 'def': 17}",6.407407407407407,6.882352941176471,8,10,-0.900993
38,2020-07-26 15:00:00,w,a,1.46461,3,1.74699,1,1.0957,3,0.703516,1.74699,"{'att': 434, 'def': 32}","{'att': 123, 'def': 23}",13.5625,5.3478260869565215,7,13,-1.043474
