GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-10 15:00:00,w,a,0.855516,3,0.670022,0,1.5457999999999998,3,0.855516,0.670022,"{'att': 230, 'def': 20}","{'att': 274, 'def': 28}",11.5,9.785714285714286,5,7,0.18549400000000005
2,2019-08-17 15:00:00,d,h,2.40461,1,1.00856,1,2.3339,1,2.40461,1.00856,"{'att': 192, 'def': 35}","{'att': 275, 'def': 31}",5.485714285714286,8.870967741935484,8,4,1.39605
3,2019-08-24 15:00:00,l,h,0.997711,0,2.07795,2,0.5691,0,0.997711,2.07795,"{'att': 211, 'def': 23}","{'att': 215, 'def': 20}",9.173913043478262,10.75,6,6,-1.080239
4,2019-08-31 15:00:00,l,a,0.861035,0,2.30818,4,0.43790000000000007,0,0.861035,2.30818,"{'att': 346, 'def': 16}","{'att': 366, 'def': 32}",21.625,11.4375,7,16,-1.4471450000000001
5,2019-09-14 14:00:00,d,h,1.68545,1,0.341654,1,2.4816,1,1.68545,0.341654,"{'att': 111, 'def': 28}","{'att': 242, 'def': 20}",3.9642857142857144,12.1,13,4,1.3437959999999998
6,2019-09-21 16:30:00,d,a,1.21592,0,1.09807,0,1.4292,1,1.21592,1.09807,"{'att': 128, 'def': 21}","{'att': 458, 'def': 20}",6.095238095238095,22.9,6,4,0.11784999999999979
7,2019-09-28 14:00:00,l,a,0.616263,0,4.26443,2,0.0414,0,0.616263,3.50326,"{'att': 332, 'def': 26}","{'att': 349, 'def': 24}",12.76923076923077,14.541666666666666,0,9,-2.886997
8,2019-10-05 12:30:00,w,h,2.60017,3,0.478504,0,2.8252,3,2.60017,0.478504,"{'att': 301, 'def': 37}","{'att': 259, 'def': 17}",8.135135135135135,15.235294117647058,12,4,2.121666
9,2019-10-19 15:00:00,l,a,1.32184,1,2.96692,2,0.44210000000000005,0,1.32184,2.96692,"{'att': 200, 'def': 21}","{'att': 271, 'def': 18}",9.523809523809524,15.055555555555555,10,7,-1.64508
10,2019-10-26 15:00:00,w,h,1.15279,3,1.04723,2,1.4703,3,0.391623,1.04723,"{'att': 237, 'def': 28}","{'att': 327, 'def': 28}",8.464285714285714,11.678571428571429,4,7,-0.655607
11,2019-11-02 15:00:00,w,h,2.65496,2,0.455082,0,2.7289,3,2.65496,0.455082,"{'att': 216, 'def': 31}","{'att': 289, 'def': 19}",6.967741935483871,15.210526315789474,15,5,2.199878
12,2019-11-10 14:00:00,l,a,1.1342,1,3.65299,3,0.1845,0,1.1342,3.65299,"{'att': 186, 'def': 35}","{'att': 311, 'def': 26}",5.314285714285714,11.961538461538462,2,9,-2.51879
13,2019-11-23 15:00:00,l,h,0.784706,0,3.50917,2,0.1059,0,0.784706,2.748,"{'att': 247, 'def': 15}","{'att': 243, 'def': 9}",16.466666666666665,27.0,8,9,-1.9632940000000003
14,2019-11-30 15:00:00,l,a,0.867601,1,1.36832,2,0.9274,0,0.867601,1.36832,"{'att': 271, 'def': 18}","{'att': 358, 'def': 24}",15.055555555555555,14.916666666666666,3,11,-0.500719
15,2019-12-05 20:15:00,w,a,1.53446,2,0.965377,1,1.7993999999999999,3,1.53446,0.965377,"{'att': 235, 'def': 28}","{'att': 223, 'def': 16}",8.392857142857142,13.9375,4,6,0.5690829999999999
16,2019-12-08 16:30:00,d,h,0.951621,2,1.87208,2,0.6745,1,0.951621,1.87208,"{'att': 176, 'def': 30}","{'att': 347, 'def': 15}",5.866666666666666,23.133333333333333,6,11,-0.9204589999999999
17,2019-12-16 19:45:00,d,a,2.48355,1,0.484859,1,2.7738,1,2.48355,0.484859,"{'att': 168, 'def': 32}","{'att': 309, 'def': 16}",5.25,19.3125,11,5,1.9986910000000002
18,2019-12-21 15:00:00,l,h,0.428371,0,1.65933,1,0.3871,0,0.428371,1.65933,"{'att': 128, 'def': 15}","{'att': 364, 'def': 18}",8.533333333333333,20.22222222222222,9,1,-1.230959
19,2019-12-26 12:30:00,l,a,1.09007,1,1.02645,2,1.4180000000000001,0,1.09007,1.02645,"{'att': 252, 'def': 26}","{'att': 243, 'def': 24}",9.692307692307692,10.125,2,7,0.06362000000000001
20,2019-12-28 12:30:00,w,h,1.05876,2,0.500726,0,1.8676000000000001,3,1.05876,0.500726,"{'att': 225, 'def': 24}","{'att': 274, 'def': 16}",9.375,17.125,11,5,0.5580339999999999
21,2020-01-01 12:30:00,d,h,1.56978,1,1.57497,1,1.3708,1,1.56978,1.57497,"{'att': 328, 'def': 27}","{'att': 273, 'def': 32}",12.148148148148149,8.53125,10,7,-0.005190000000000028
22,2020-01-11 15:00:00,l,a,1.53324,0,2.02533,1,1.0255,0,1.53324,2.02533,"{'att': 279, 'def': 16}","{'att': 252, 'def': 29}",17.4375,8.689655172413794,6,10,-0.4920899999999999
23,2020-01-18 15:00:00,d,h,1.30028,1,1.02045,1,1.6034,1,1.30028,1.02045,"{'att': 210, 'def': 29}","{'att': 291, 'def': 27}",7.241379310344827,10.777777777777779,7,4,0.27983
24,2020-01-21 19:30:00,l,a,1.97227,1,1.92315,3,1.4041000000000001,0,1.97227,1.92315,"{'att': 135, 'def': 21}","{'att': 345, 'def': 31}",6.428571428571429,11.129032258064516,4,6,0.04912000000000005
25,2020-02-01 15:00:00,d,a,2.03179,3,1.30774,3,1.8862,1,2.03179,1.30774,"{'att': 152, 'def': 24}","{'att': 364, 'def': 21}",6.333333333333333,17.333333333333332,9,5,0.7240500000000001
26,2020-02-08 17:30:00,d,h,0.76201,1,0.280048,1,1.8077,1,0.76201,0.280048,"{'att': 143, 'def': 20}","{'att': 338, 'def': 22}",7.15,15.363636363636363,7,3,0.48196199999999995
27,2020-02-22 15:00:00,d,a,1.06035,1,1.6597,1,0.8819000000000001,1,1.06035,1.6597,"{'att': 235, 'def': 15}","{'att': 132, 'def': 18}",15.666666666666666,7.333333333333333,2,7,-0.59935
28,2020-02-29 12:30:00,l,h,1.78712,0,2.17159,1,1.115,0,1.78712,2.17159,"{'att': 142, 'def': 23}","{'att': 307, 'def': 18}",6.173913043478261,17.055555555555557,8,5,-0.3844700000000001
29,2020-03-07 15:00:00,d,a,0.308874,0,0.898221,0,0.7249,1,0.308874,0.898221,"{'att': 267, 'def': 28}","{'att': 360, 'def': 18}",9.535714285714286,20.0,4,2,-0.5893470000000001
30,2020-06-20 14:00:00,w,h,0.670973,2,0.69627,1,1.32,3,0.670973,0.69627,"{'att': 309, 'def': 18}","{'att': 153, 'def': 16}",17.166666666666668,9.5625,7,4,-0.025296999999999903
