GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-10 15:00:00,w,h,0.909241,3,1.08752,0,1.1422,3,0.909241,1.08752,"{'att': 167, 'def': 18}","{'att': 143, 'def': 26}",9.277777777777779,5.5,0,9,-0.17827900000000008
2,2019-08-17 12:30:00,l,a,1.39172,1,1.1644,2,1.5631000000000002,0,1.39172,1.1644,"{'att': 296, 'def': 26}","{'att': 85, 'def': 16}",11.384615384615385,5.3125,4,8,0.22731999999999997
3,2019-08-25 16:30:00,d,a,1.22762,1,1.32793,1,1.2223,1,1.22762,0.56676,"{'att': 307, 'def': 21}","{'att': 142, 'def': 12}",14.619047619047619,11.833333333333334,4,4,0.6608599999999999
4,2019-08-31 17:30:00,l,h,0.61739,0,1.20057,3,0.8487,0,0.61739,1.20057,"{'att': 309, 'def': 19}","{'att': 149, 'def': 24}",16.263157894736842,6.208333333333333,0,11,-0.5831799999999999
5,2019-09-14 14:00:00,d,a,0.341654,1,1.68545,1,0.3291,1,0.341654,1.68545,"{'att': 242, 'def': 20}","{'att': 111, 'def': 28}",12.1,3.9642857142857144,4,13,-1.3437959999999998
6,2019-09-21 14:00:00,w,h,2.39312,2,0.801428,0,2.5163,3,2.39312,0.801428,"{'att': 292, 'def': 25}","{'att': 149, 'def': 10}",11.68,14.9,7,9,1.591692
7,2019-09-28 14:00:00,d,a,1.66919,2,0.914266,2,1.9909,1,1.66919,0.914266,"{'att': 199, 'def': 22}","{'att': 121, 'def': 20}",9.045454545454545,6.05,2,3,0.7549239999999999
8,2019-10-05 15:00:00,w,h,0.558912,1,1.30723,0,0.6769000000000001,3,0.558912,1.30723,"{'att': 273, 'def': 14}","{'att': 156, 'def': 20}",19.5,7.8,6,4,-0.7483179999999999
9,2019-10-19 15:00:00,l,a,1.79569,1,0.8291,2,2.1660999999999997,0,1.79569,0.8291,"{'att': 304, 'def': 20}","{'att': 114, 'def': 15}",15.2,7.6,3,6,0.9665900000000001
10,2019-10-26 17:30:00,l,h,2.23494,2,0.988321,4,2.3316,0,2.23494,0.988321,"{'att': 399, 'def': 25}","{'att': 199, 'def': 19}",15.96,10.473684210526315,8,6,1.246619
11,2019-11-02 15:00:00,l,a,0.716613,0,2.58392,3,0.25980000000000003,0,0.716613,2.58392,"{'att': 170, 'def': 20}","{'att': 248, 'def': 14}",8.5,17.714285714285715,3,6,-1.8673069999999998
12,2019-11-09 15:00:00,w,h,2.4158,3,0.474281,0,2.6809000000000003,3,2.4158,0.474281,"{'att': 218, 'def': 24}","{'att': 137, 'def': 24}",9.083333333333334,5.708333333333333,5,5,1.941519
13,2019-11-23 15:00:00,w,a,2.66281,3,0.902384,0,2.6123,3,1.90164,0.902384,"{'att': 186, 'def': 16}","{'att': 113, 'def': 19}",11.625,5.947368421052632,2,5,0.999256
14,2019-11-30 15:00:00,l,h,1.8509,0,0.936732,2,2.0956,0,1.8509,0.936732,"{'att': 268, 'def': 32}","{'att': 175, 'def': 24}",8.375,7.291666666666667,5,6,0.914168
15,2019-12-03 20:15:00,l,h,0.486548,1,2.56057,4,0.16410000000000002,0,0.486548,2.56057,"{'att': 415, 'def': 16}","{'att': 112, 'def': 10}",25.9375,11.2,3,13,-2.074022
16,2019-12-07 15:00:00,l,a,1.08645,0,2.39684,5,0.4508,0,1.08645,2.39684,"{'att': 305, 'def': 27}","{'att': 297, 'def': 27}",11.296296296296296,11.0,1,3,-1.3103900000000002
17,2019-12-14 15:00:00,w,h,1.43602,1,1.08726,0,1.6641,3,1.43602,1.08726,"{'att': 193, 'def': 27}","{'att': 209, 'def': 20}",7.148148148148148,10.45,2,2,0.3487600000000002
18,2019-12-21 15:00:00,w,a,0.144318,1,0.138532,0,1.1229,3,0.144318,0.138532,"{'att': 235, 'def': 28}","{'att': 100, 'def': 18}",8.392857142857142,5.555555555555555,0,6,0.005786000000000013
19,2019-12-26 15:00:00,l,a,0.565252,0,1.47521,1,0.5893999999999999,0,0.565252,1.47521,"{'att': 314, 'def': 24}","{'att': 105, 'def': 19}",13.083333333333334,5.526315789473684,1,2,-0.9099579999999999
20,2019-12-28 19:45:00,l,h,0.386662,0,2.10542,2,0.2001,0,0.386662,2.10542,"{'att': 270, 'def': 20}","{'att': 150, 'def': 18}",13.5,8.333333333333334,3,9,-1.718758
21,2020-01-01 12:30:00,l,h,2.34418,1,1.74824,2,1.8281,0,2.34418,1.74824,"{'att': 143, 'def': 18}","{'att': 265, 'def': 10}",7.944444444444445,26.5,9,5,0.5959400000000001
22,2020-01-11 15:00:00,l,a,0.717407,0,2.87633,3,0.1711,0,0.717407,2.11516,"{'att': 317, 'def': 11}","{'att': 163, 'def': 17}",28.818181818181817,9.588235294117647,1,10,-1.3977529999999998
23,2020-01-19 14:00:00,w,h,1.50886,2,2.33415,1,0.7242,3,1.50886,1.55792,"{'att': 243, 'def': 25}","{'att': 226, 'def': 23}",9.72,9.826086956521738,3,14,-0.04905999999999988
24,2020-01-22 20:15:00,w,a,0.717284,2,1.416,0,0.8269,3,0.717284,1.416,"{'att': 361, 'def': 26}","{'att': 109, 'def': 10}",13.884615384615385,10.9,3,11,-0.6987159999999999
25,2020-02-02 14:00:00,d,h,2.24562,0,1.48025,0,1.9502000000000002,1,2.24562,1.48025,"{'att': 268, 'def': 24}","{'att': 146, 'def': 22}",11.166666666666666,6.636363636363637,4,4,0.7653700000000001
26,2020-02-15 12:30:00,w,a,0.892699,2,0.694025,1,1.5452,3,0.892699,0.694025,"{'att': 248, 'def': 25}","{'att': 134, 'def': 18}",9.92,7.444444444444445,2,6,0.19867400000000002
27,2020-02-22 15:00:00,w,h,3.09935,3,1.75718,0,2.2546999999999997,3,2.33818,1.75718,"{'att': 230, 'def': 21}","{'att': 125, 'def': 11}",10.952380952380953,11.363636363636363,5,5,0.581
28,2020-02-29 15:00:00,d,a,0.617612,0,1.11713,0,0.9067000000000001,1,0.617612,1.11713,"{'att': 186, 'def': 21}","{'att': 146, 'def': 22}",8.857142857142858,6.636363636363637,1,5,-0.4995179999999999
29,2020-03-07 17:30:00,d,h,3.33302,1,1.13669,1,2.7344,1,3.33302,0.375517,"{'att': 235, 'def': 31}","{'att': 213, 'def': 17}",7.580645161290323,12.529411764705882,6,4,2.957503
30,2020-06-22 19:00:00,l,a,0.0303408,0,2.71096,5,0.0256,0,0.0303408,1.94979,"{'att': 504, 'def': 11}","{'att': 200, 'def': 16}",45.81818181818182,12.5,0,13,-1.9194491999999999
31,2020-06-25 17:00:00,w,h,0.964774,1,0.495542,0,1.8039,3,0.964774,0.495542,"{'att': 121, 'def': 18}","{'att': 206, 'def': 20}",6.722222222222222,10.3,5,3,0.46923200000000004
32,2020-06-29 19:00:00,w,a,0.359906,1,1.06533,0,0.6875,3,0.359906,1.06533,"{'att': 235, 'def': 18}","{'att': 188, 'def': 22}",13.055555555555555,8.545454545454545,3,12,-0.705424
33,2020-07-05 11:00:00,d,h,1.31966,1,1.63343,1,1.1213,1,1.31966,1.63343,"{'att': 192, 'def': 21}","{'att': 207, 'def': 15}",9.142857142857142,13.8,4,7,-0.3137699999999999
34,2020-07-08 17:00:00,w,a,1.05291,1,1.99821,0,0.7094,3,1.05291,1.99821,"{'att': 193, 'def': 8}","{'att': 186, 'def': 17}",24.125,10.941176470588236,6,8,-0.9453
35,2020-07-11 14:00:00,d,a,0.452331,1,2.17649,1,0.2929,1,0.452331,2.17649,"{'att': 352, 'def': 15}","{'att': 113, 'def': 13}",23.466666666666665,8.692307692307692,2,19,-1.7241589999999998
36,2020-07-15 17:00:00,d,h,1.53435,1,1.2857,1,1.5969,1,0.773179,1.2857,"{'att': 201, 'def': 26}","{'att': 180, 'def': 8}",7.730769230769231,22.5,6,3,-0.5125210000000001
37,2020-07-18 16:30:00,w,a,1.8233,2,0.576602,0,2.3047,3,1.8233,0.576602,"{'att': 211, 'def': 31}","{'att': 196, 'def': 8}",6.806451612903226,24.5,17,0,1.2466979999999999
38,2020-07-26 15:00:00,l,h,1.44244,1,1.3696,2,1.4296,0,1.44244,1.3696,"{'att': 160, 'def': 27}","{'att': 180, 'def': 11}",5.925925925925926,16.363636363636363,5,4,0.07284000000000002
