GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-10 15:00:00,d,a,1.59864,1,1.34099,1,1.5905,1,1.59864,1.34099,"{'att': 274, 'def': 30}","{'att': 204, 'def': 15}",9.133333333333333,13.6,6,4,0.25765000000000016
2,2019-08-18 14:00:00,w,h,1.84778,1,0.241912,0,2.6386,3,1.84778,0.241912,"{'att': 278, 'def': 25}","{'att': 174, 'def': 15}",11.12,11.6,2,5,1.605868
3,2019-08-24 15:00:00,l,h,0.654318,1,0.704879,2,1.2765,0,0.654318,0.704879,"{'att': 262, 'def': 23}","{'att': 152, 'def': 17}",11.391304347826088,8.941176470588236,4,9,-0.05056100000000008
4,2019-08-31 15:00:00,d,a,1.04649,2,2.30579,2,0.527,1,1.04649,2.30579,"{'att': 502, 'def': 24}","{'att': 253, 'def': 17}",20.916666666666668,14.882352941176471,5,4,-1.2593
5,2019-09-14 14:00:00,l,h,1.88034,0,1.57659,1,1.5811,0,1.88034,1.57659,"{'att': 263, 'def': 21}","{'att': 218, 'def': 17}",12.523809523809524,12.823529411764707,8,7,0.30374999999999996
6,2019-09-21 14:00:00,w,a,0.508011,2,1.26041,0,0.7021999999999999,3,0.508011,1.26041,"{'att': 263, 'def': 20}","{'att': 96, 'def': 17}",13.15,5.647058823529412,2,9,-0.752399
7,2019-09-28 11:30:00,l,h,1.17022,0,1.97079,1,0.7802,0,1.17022,1.97079,"{'att': 412, 'def': 17}","{'att': 124, 'def': 11}",24.235294117647058,11.272727272727273,1,11,-0.80057
8,2019-10-05 15:00:00,d,a,0.353724,0,1.44318,0,0.4004,1,0.353724,1.44318,"{'att': 148, 'def': 22}","{'att': 310, 'def': 16}",6.7272727272727275,19.375,5,2,-1.089456
9,2019-10-21 20:00:00,w,h,0.895722,1,0.949735,0,1.2742,3,0.895722,0.949735,"{'att': 342, 'def': 28}","{'att': 107, 'def': 18}",12.214285714285714,5.944444444444445,6,8,-0.05401299999999998
10,2019-10-26 15:00:00,d,a,1.16171,1,2.33891,1,0.4991,1,1.16171,2.33891,"{'att': 303, 'def': 21}","{'att': 162, 'def': 16}",14.428571428571429,10.125,7,9,-1.1771999999999998
11,2019-11-02 15:00:00,w,h,2.58392,3,0.716613,0,2.6151,3,2.58392,0.716613,"{'att': 248, 'def': 14}","{'att': 170, 'def': 20}",17.714285714285715,8.5,6,3,1.8673069999999998
12,2019-11-09 15:00:00,d,a,0.923443,1,1.5104,1,0.8906000000000001,1,0.923443,1.5104,"{'att': 334, 'def': 29}","{'att': 162, 'def': 17}",11.517241379310345,9.529411764705882,6,4,-0.586957
13,2019-11-24 16:30:00,d,h,1.56025,3,1.33065,3,1.5623,1,1.56025,1.33065,"{'att': 325, 'def': 31}","{'att': 164, 'def': 19}",10.483870967741936,8.631578947368421,3,6,0.2295999999999998
14,2019-12-01 14:00:00,d,a,1.47296,1,1.27422,1,1.5085000000000002,1,1.47296,1.27422,"{'att': 292, 'def': 37}","{'att': 159, 'def': 21}",7.891891891891892,7.571428571428571,8,4,0.19874000000000014
15,2019-12-05 19:30:00,l,h,1.09175,0,0.533775,2,1.846,0,1.09175,0.533775,"{'att': 117, 'def': 16}","{'att': 360, 'def': 6}",7.3125,60.0,13,3,0.557975
16,2019-12-08 14:00:00,w,a,0.712899,2,0.585805,1,1.4471999999999998,3,0.712899,0.585805,"{'att': 278, 'def': 25}","{'att': 198, 'def': 16}",11.12,12.375,2,7,0.12709399999999993
17,2019-12-14 15:00:00,w,h,1.888,2,0.97258,0,2.1525,3,1.888,0.211411,"{'att': 192, 'def': 24}","{'att': 217, 'def': 20}",8.0,10.85,13,1,1.6765889999999999
18,2019-12-21 15:00:00,w,a,1.65933,1,0.428371,0,2.4205,3,1.65933,0.428371,"{'att': 364, 'def': 18}","{'att': 128, 'def': 15}",20.22222222222222,8.533333333333333,1,9,1.230959
19,2019-12-26 15:00:00,d,h,2.04481,1,0.596611,1,2.5145,1,1.28364,0.596611,"{'att': 198, 'def': 15}","{'att': 286, 'def': 14}",13.2,20.428571428571427,6,6,0.6870289999999999
20,2019-12-29 18:00:00,l,a,1.23346,0,1.08628,2,1.4862,0,1.23346,1.08628,"{'att': 484, 'def': 14}","{'att': 142, 'def': 13}",34.57142857142857,10.923076923076923,2,9,0.1471800000000001
21,2020-01-02 20:00:00,l,a,0.634607,0,3.0465,2,0.0834,0,0.634607,3.0465,"{'att': 621, 'def': 19}","{'att': 175, 'def': 12}",32.68421052631579,14.583333333333334,7,16,-2.411893
22,2020-01-10 20:00:00,w,h,2.02768,1,0.90477,0,2.2167,3,2.02768,0.90477,"{'att': 278, 'def': 28}","{'att': 208, 'def': 19}",9.928571428571429,10.947368421052632,4,3,1.12291
23,2020-01-18 15:00:00,d,a,1.18444,1,1.22882,1,1.2883,1,1.18444,1.22882,"{'att': 323, 'def': 36}","{'att': 170, 'def': 18}",8.972222222222221,9.444444444444445,1,6,-0.044380000000000086
24,2020-01-21 19:30:00,l,h,0.774943,0,2.873,1,0.1615,0,0.774943,2.11183,"{'att': 391, 'def': 17}","{'att': 106, 'def': 12}",23.0,8.833333333333334,6,11,-1.336887
25,2020-02-01 15:00:00,w,a,0.860755,1,0.970063,0,1.2473,3,0.860755,0.970063,"{'att': 299, 'def': 29}","{'att': 132, 'def': 12}",10.310344827586206,11.0,4,6,-0.10930799999999996
