GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2019-08-11 14:00:00,d,a,0.812949,0,0.543759,0,1.584,1,0.812949,0.543759,"{'att': 392, 'def': 21}","{'att': 148, 'def': 23}",18.666666666666668,6.434782608695652,3,7,0.26919000000000004
2,2019-08-19 20:00:00,d,h,0.307356,1,1.14332,1,0.43789999999999996,1,0.307356,0.382148,"{'att': 399, 'def': 20}","{'att': 184, 'def': 22}",19.95,8.363636363636363,5,9,-0.07479199999999997
3,2019-08-25 16:30:00,d,h,1.32793,1,1.22762,1,1.4707,1,0.56676,1.22762,"{'att': 142, 'def': 12}","{'att': 307, 'def': 21}",11.833333333333334,14.619047619047619,4,4,-0.6608599999999999
4,2019-09-01 14:00:00,l,a,2.00172,2,1.48842,3,1.7717000000000003,0,2.00172,1.48842,"{'att': 242, 'def': 12}","{'att': 160, 'def': 30}",20.166666666666668,5.333333333333333,5,4,0.5133000000000001
5,2019-09-14 14:00:00,l,h,1.49359,2,3.06799,5,0.4052,0,1.49359,3.06799,"{'att': 367, 'def': 28}","{'att': 213, 'def': 30}",13.107142857142858,7.1,5,6,-1.5744
6,2019-09-22 13:00:00,d,a,1.75572,1,0.984777,1,1.9945000000000002,1,1.75572,0.984777,"{'att': 263, 'def': 21}","{'att': 265, 'def': 19}",12.523809523809524,13.947368421052632,5,6,0.7709429999999999
7,2019-09-28 14:00:00,w,h,1.16363,2,1.06615,0,1.4304000000000001,3,1.16363,1.06615,"{'att': 367, 'def': 16}","{'att': 239, 'def': 21}",22.9375,11.380952380952381,5,10,0.09748000000000001
8,2019-10-06 14:00:00,w,a,1.18825,2,1.61884,0,1.0413000000000001,3,1.18825,1.61884,"{'att': 315, 'def': 16}","{'att': 107, 'def': 26}",19.6875,4.115384615384615,1,13,-0.43059000000000003
9,2019-10-19 15:00:00,d,h,0.887495,1,1.37695,1,0.9399000000000001,1,0.126326,1.37695,"{'att': 220, 'def': 15}","{'att': 289, 'def': 24}",14.666666666666666,12.041666666666666,3,5,-1.250624
10,2019-10-27 14:00:00,d,a,1.93255,1,0.603104,1,2.4101999999999997,1,1.93255,0.603104,"{'att': 240, 'def': 25}","{'att': 309, 'def': 8}",9.6,38.625,6,3,1.329446
